gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000006625	0.233279947384524	2.78024311266467	0.118916938292451	0.406892985740616	GGCT	-6.21937979993725	hsa	FALSE	FALSE
ENSG00000006634	0.0464208242188309	5.71446361653911	0.626767225025481	0.840863974133574	DBF4	-7.57507291984983	hsa	FALSE	FALSE
ENSG00000006638	-0.0733735627555499	2.27942532545393	0.682503563147558	0.870444842067422	TBXA2R	-7.64455818071272	hsa	FALSE	FALSE
ENSG00000006652	-0.162663996220824	7.01325156078506	0.0771424071857561	0.323486240320163	IFRD1	-5.866399526281	hsa	FALSE	FALSE
ENSG00000006695	-0.0718981132290168	3.73104843117347	0.577946376155849	0.816050891992568	COX10	-7.50893041977628	hsa	FALSE	FALSE
ENSG00000006712	-0.115133402448402	7.1525517276375	0.284169825191002	0.595596885435905	PAF1	-6.92990997097608	hsa	FALSE	FALSE
ENSG00000006715	0.131340592891716	4.3913354978326	0.27120671678503	0.58319464635351	VPS41	-6.89182780069414	hsa	FALSE	FALSE
ENSG00000006744	-0.0942559623146206	7.25447519881874	0.313686756771654	0.621857158980309	ELAC2	-7.01051249031907	hsa	FALSE	FALSE
ENSG00000006757	-0.17704472206709	2.23735126056371	0.344155316692478	0.649350830765999	PNPLA4	-7.08611954104335	hsa	FALSE	FALSE
ENSG00000006831	0.29213971695689	4.13583917960207	0.0423436405645987	0.238133022195426	ADIPOR2	-5.37715843581653	hsa	FALSE	FALSE
ENSG00000007047	-0.178735335426565	4.1961405822533	0.136983180256585	0.433362165422319	MARK4	-6.33473617921898	hsa	FALSE	FALSE
ENSG00000007080	0.0510963243445067	4.4784875729334	0.661998386220383	0.859734282888819	CCDC124	-7.61967780455063	hsa	FALSE	FALSE
ENSG00000007129	0.290669968971825	4.29310984239629	0.0100735862261106	0.100840627557857	CEACAM21	-4.20599952389354	hsa	FALSE	FALSE
ENSG00000007168	0.184373266521116	6.73111646201403	0.0529863650258137	0.268972975889658	PAFAH1B1	-5.56003519004714	hsa	FALSE	FALSE
ENSG00000007202	-0.0408454115132453	8.02466907016168	0.679527116953451	0.868609461042544	KIAA0100	-7.64099339835913	hsa	FALSE	FALSE
ENSG00000007255	0.176256358834497	3.86452224815406	0.167202293793276	0.473278642229135	TRAPPC6A	-6.49732822925779	hsa	FALSE	FALSE
ENSG00000007264	-0.0326630696431838	4.33915541952591	0.779894660536481	0.914175352439624	MATK	-7.753355471302	hsa	FALSE	FALSE
ENSG00000007312	-0.160886808257207	0.959906720006835	0.576751478090811	0.815689956120332	CD79B	-7.50724237549006	hsa	FALSE	FALSE
ENSG00000007341	-0.249426838067491	3.82306044259764	0.0644953466276119	0.295154866122013	ST7L	-5.72035342595273	hsa	FALSE	FALSE
ENSG00000007376	-0.129008668745286	3.89182659974706	0.279612842191272	0.591358739050255	RPUSD1	-6.91672447930696	hsa	FALSE	FALSE
ENSG00000007392	-0.21221727962146	7.1273710703785	0.0217787737592256	0.159553744759479	LUC7L	-4.83486288176456	hsa	FALSE	FALSE
ENSG00000007520	-0.0660573340056722	4.91642336459704	0.557488822652234	0.803485099959387	C16orf42	-7.47953636321997	hsa	FALSE	FALSE
ENSG00000007541	-0.18700370760792	5.26981744333025	0.072234085810741	0.311907264474449	PIGQ	-5.81277934363898	hsa	FALSE	FALSE
ENSG00000007545	-0.140291761046233	5.94900261980175	0.172830514102947	0.478987424799596	CRAMP1L	-6.52433117321758	hsa	FALSE	FALSE
ENSG00000007923	-0.0838102054221906	6.61248607134115	0.351272102194474	0.654379606187204	DNAJC11	-7.10281384861382	hsa	FALSE	FALSE
ENSG00000007944	0.185543220807264	7.63248960188308	0.0527537499699705	0.268395652384778	MYLIP	-5.55644663241769	hsa	FALSE	FALSE
ENSG00000008018	-0.0119064779030969	6.52823432570481	0.896537603213548	0.962035390005019	PSMB1	-7.86703857874398	hsa	FALSE	FALSE
ENSG00000008083	-0.0366448576210107	7.54687049214614	0.709534278981811	0.882930425160507	JARID2	-7.67623796981571	hsa	FALSE	FALSE
ENSG00000008128	-0.270828131925322	7.11534061430317	0.00394473098608852	0.0545556242890145	CDK11A	-3.44132055634145	hsa	FALSE	FALSE
ENSG00000008130	-0.134810786872929	4.63184994827335	0.220471344732969	0.5318879034322	NADK	-6.72290052141619	hsa	FALSE	FALSE
ENSG00000008226	-0.215142140875753	2.9392128802285	0.196262685686139	0.505523875255384	DLEC1	-6.62803198722282	hsa	FALSE	FALSE
ENSG00000008256	0.117322493216843	2.55247913149903	0.457862946615478	0.736027627312368	CYTH3	-7.31896194005682	hsa	FALSE	FALSE
ENSG00000008282	0.102596779926852	4.90344133196876	0.339752101848519	0.645398511489282	SYPL1	-7.07561687044471	hsa	FALSE	FALSE
ENSG00000008294	-0.000389932883952736	6.91825227785421	0.99673977892622	0.998694164721335	SPAG9	-7.95345376656949	hsa	FALSE	FALSE
ENSG00000008300	-0.278471176632081	4.81686787995661	0.0109299432731606	0.106267583665158	CELSR3	-4.27254592936253	hsa	FALSE	FALSE
ENSG00000008324	-0.209321281616653	3.50573745393836	0.167217933765921	0.473278642229135	SS18L2	-6.49740451873408	hsa	FALSE	FALSE
ENSG00000008382	0.0394975962225582	2.93577982559143	0.818544500759732	0.932296647277226	MPND	-7.79280641838188	hsa	FALSE	FALSE
ENSG00000008405	0.115623482615054	6.92564272679051	0.201509767225182	0.511044125919882	CRY1	-6.64955135380323	hsa	FALSE	FALSE
ENSG00000008513	0.0422170072483828	6.4928522450415	0.631582633380918	0.843435804855435	ST3GAL1	-7.58131536908865	hsa	FALSE	FALSE
ENSG00000008516	-0.262024019158655	2.47198772431702	0.16541248362527	0.471912085636801	MMP25	-6.48855032570385	hsa	FALSE	FALSE
ENSG00000008517	0.253138027480438	5.89562127348074	0.0123292139225839	0.114193526138632	IL32	-4.37080071055572	hsa	FALSE	FALSE
ENSG00000008710	-0.116400305158887	7.38750297013762	0.218597755040256	0.529526129697091	PKD1	-6.71593962080747	hsa	FALSE	FALSE
ENSG00000008838	-0.152626904459275	7.10596905157755	0.120458563258019	0.409004683439359	MED24	-6.22988552957325	hsa	FALSE	FALSE
ENSG00000008853	-0.190359930828374	2.20990770573003	0.275616833902868	0.586959226596175	RHOBTB2	-6.90498409290515	hsa	FALSE	FALSE
ENSG00000008869	-0.0436207848827811	6.74183221892275	0.636125549290115	0.845532079696964	HEATR5B	-7.58716109495803	hsa	FALSE	FALSE
ENSG00000008952	0.0896303663510491	7.27667284470096	0.353879901312265	0.657085503059856	SEC62	-7.1088465878295	hsa	FALSE	FALSE
ENSG00000008988	0.194310252875176	9.66156042506501	0.0972553391038552	0.367771549775322	RPS20	-6.05536929669644	hsa	FALSE	FALSE
ENSG00000009307	0.164124090972401	9.72032238085301	0.159080503160581	0.464839760707028	CSDE1	-6.45671490704699	hsa	FALSE	FALSE
ENSG00000009335	0.0728482144504788	6.58288827869278	0.407782065175501	0.697345585938594	UBE3C	-7.22448222887523	hsa	FALSE	FALSE
ENSG00000009413	0.0516597111103264	5.83432946950532	0.596122478791475	0.825050390124735	REV3L	-7.53418633322091	hsa	FALSE	FALSE
ENSG00000009694	-0.180129617740107	6.51000207518482	0.0617329116245224	0.289814353609407	ODZ1	-5.68464867507156	hsa	FALSE	FALSE
ENSG00000009724	-0.393262619106037	4.5609505184954	0.000580398783267615	0.0134491295833846	MASP2	-1.87823762574903	hsa	FALSE	FALSE
ENSG00000009780	0.122231110556717	3.23901093573748	0.390874927545487	0.685465373199126	FAM76A	-7.18994433426141	hsa	FALSE	FALSE
ENSG00000009790	-0.308770695855943	7.68311309411355	0.00414166625277041	0.0564218048767649	TRAF3IP3	-3.48105576423251	hsa	FALSE	FALSE
ENSG00000009830	-0.315013011082525	1.62270741009637	0.151212949377504	0.455029939188116	POMT2	-6.41534530109905	hsa	FALSE	FALSE
ENSG00000009844	0.175362817112642	4.66733179235566	0.106829926724624	0.386884332669965	VTA1	-6.13195514689699	hsa	FALSE	FALSE
ENSG00000009954	-0.0411013049983096	6.20996064817339	0.650467994428945	0.854375117198877	BAZ1B	-7.60534641726019	hsa	FALSE	FALSE
ENSG00000010017	0.134083200332438	6.3008972183232	0.156588297515492	0.461684582189292	RANBP9	-6.4438358988119	hsa	FALSE	FALSE
ENSG00000010072	0.0415575402538191	4.73687636708553	0.696265369036545	0.876538750536317	C1orf124	-7.66084062286405	hsa	FALSE	FALSE
ENSG00000010165	0.0842361263160287	4.3215824281224	0.454042620969667	0.732615772558793	METTL13	-7.3121279516213	hsa	FALSE	FALSE
ENSG00000010219	0.111229346167651	2.50732756153261	0.513151674947096	0.771391988060189	DYRK4	-7.41194460972234	hsa	FALSE	FALSE
ENSG00000010244	0.0744115273612148	7.35415977155816	0.444691115246014	0.725762348385727	ZNF207	-7.2951538281871	hsa	FALSE	FALSE
ENSG00000010256	-0.0826057439165815	5.48680794556399	0.434358922219204	0.718457791636338	UQCRC1	-7.27597950261442	hsa	FALSE	FALSE
ENSG00000010270	0.031456319958946	3.94906517353216	0.788262397822249	0.918281105176463	STARD3NL	-7.76205997037837	hsa	FALSE	FALSE
ENSG00000010278	-0.0698416960513852	1.44778220383872	0.755314314118636	0.904079587963123	CD9	-7.72723513308577	hsa	FALSE	FALSE
ENSG00000010292	-0.139502571291811	5.30039192855349	0.163544465400688	0.470227917178035	NCAPD2	-6.47928697952539	hsa	FALSE	FALSE
ENSG00000010295	-0.249167491187747	5.19245722996612	0.0170643176975872	0.137140259459263	IFFO1	-4.63589394837615	hsa	FALSE	FALSE
ENSG00000010318	-0.161214329064977	3.59999437719537	0.210922790378487	0.522541403485114	PHF7	-6.68678819154913	hsa	FALSE	FALSE
ENSG00000010322	-0.248670582253352	7.96006129394509	0.0197501039919951	0.150507339373834	NISCH	-4.75511334815163	hsa	FALSE	FALSE
ENSG00000010361	-0.300196526335797	4.12298624969075	0.013550917638316	0.120943389734842	FUZ	-4.44786328390119	hsa	FALSE	FALSE
ENSG00000010404	-0.0168228014534833	5.54737119222835	0.864031324057308	0.951084685871049	IDS	-7.83691651189672	hsa	FALSE	FALSE
ENSG00000010539	1.04461284080201	4.73141608238242	5.09110175516296e-08	3.95459115033194e-06	ZNF200	5.74084622732546	hsa	TRUE	TRUE
ENSG00000010610	-0.0500591451126747	7.18213809895114	0.594242041704383	0.823814609776972	CD4	-7.53160941653624	hsa	FALSE	FALSE
ENSG00000010626	-0.334971744928831	2.18395598269945	0.0799589087890813	0.33009760002566	LRRC23	-5.89564764234387	hsa	FALSE	FALSE
ENSG00000010803	-0.179558928448339	4.20973972106992	0.131432716529881	0.425405479032178	SCMH1	-6.30099936019991	hsa	FALSE	FALSE
ENSG00000010810	0.0812489111427159	8.83683652196517	0.444310851481525	0.725425934058333	FYN	-7.29445607242734	hsa	FALSE	FALSE
ENSG00000010818	0.121128606701595	7.30677817378792	0.215821717620354	0.527716212217083	HIVEP2	-6.70551541143746	hsa	FALSE	FALSE
ENSG00000011007	-0.128925789027311	6.2236043255001	0.155379158191558	0.459635793487227	TCEB3	-6.43751337590503	hsa	FALSE	FALSE
