Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 111964.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 12.92 sec. (3151.28 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      990.9622    31                    990.9622    15356         
*     0+    0                            9.7072      990.9622    15356     --- 
      0     0      988.4281    49        9.7072       Cuts: 3    15376     --- 
      0     0      963.0481    90        9.7072  ZeroHalf: 22    15377     --- 
      0     0      958.1194    93        9.7072  ZeroHalf: 53    15401     --- 
      0     0      958.0578    79        9.7072   ZeroHalf: 2    15409     --- 
      0     0      957.8100   111        9.7072      Cuts: 27    15421     --- 
      0     0      957.5968    71        9.7072   ZeroHalf: 2    15425     --- 
      0     0      954.8809   168        9.7072 UserPurge1: 220    15488     --- 
*     0+    0                          885.7019      954.8809    15488    7.81%
      0     0      954.1558   106      885.7019  ZeroHalf: 16    15501    7.73%
      0     0      953.9641   119      885.7019       Cuts: 7    15506    7.71%
      0     0      953.7061    50      885.7019  ZeroHalf: 12    15512    7.68%
      0     0      953.6921   106      885.7019       Cuts: 3    15515    7.68%
      0     0      953.4728    76      885.7019   ZeroHalf: 1    15520    7.65%
      0     0      952.3911   139      885.7019 UserPurge1: 219    15572    7.53%
*     0+    0                          890.3348      952.3911    15572    6.97%
      0     0      952.3689   102      890.3348   ZeroHalf: 5    15587    6.97%
*     0+    0                          901.3077      952.3689    15587    5.67%
      0     0      952.3426    58      901.3077 UserPurge1: 214    15614    5.66%
*     0+    0                          929.8326      952.3426    15614    2.42%
      0     0      952.1986   103      929.8326 UserPurge1: 210    15637    2.41%
      0     0      952.1880   115      929.8326 UserPurge1: 213    15640    2.40%
      0     0      952.1701    56      929.8326 UserPurge1: 215    15643    2.40%
      0     0      952.1670   123      929.8326 UserPurge1: 211    15648    2.40%
      0     0      952.1651   119      929.8326 UserPurge1: 216    15651    2.40%
      0     0      952.1597   164      929.8326 UserPurge1: 215    15656    2.40%
      0     0      952.1445   113      929.8326 UserPurge1: 221    15665    2.40%
      0     0      952.0829   122      929.8326 UserPurge1: 215    15696    2.39%
      0     0      952.0701   130      929.8326 UserPurge1: 216    15708    2.39%
      0     0      952.0591   139      929.8326 UserPurge1: 217    15718    2.39%
      0     0      952.0582    56      929.8326 UserPurge1: 218    15723    2.39%
      0     0      952.0562   133      929.8326 UserPurge1: 211    15727    2.39%
      0     0      952.0460   178      929.8326 UserPurge1: 218    15735    2.39%
      0     0      952.0330   112      929.8326 UserPurge1: 222    15743    2.39%
      0     0      952.0237   154      929.8326 UserPurge1: 216    15750    2.39%
      0     0      952.0168   155      929.8326 UserPurge1: 220    15757    2.39%
      0     0      952.0138   143      929.8326 UserPurge1: 222    15762    2.39%
      0     0      952.0114   165      929.8326 UserPurge1: 219    15766    2.39%
      0     0      951.9946   180      929.8326 UserPurge1: 222    15791    2.38%
      0     0      951.9741   183      929.8326 UserPurge1: 224    15802    2.38%
      0     0      951.9633    78      929.8326 UserPurge1: 224    15818    2.38%
      0     0      951.9607   192      929.8326 UserPurge1: 215    15828    2.38%
      0     0      951.9543    11      929.8326 UserPurge1: 225    15839    2.38%
      0     0      951.9541   167      929.8326 UserPurge1: 208    15841    2.38%
      0     0      951.9446   182      929.8326 UserPurge1: 224    15856    2.38%
      0     0      951.9373   203      929.8326 UserPurge1: 224    15860    2.38%
      0     0      951.9190    62      929.8326 UserPurge1: 227    15878    2.38%
      0     0      951.9176   128      929.8326 UserPurge1: 211    15880    2.38%
      0     0      951.9041   242      929.8326 UserPurge1: 221    15897    2.37%
      0     0      951.8982   180      929.8326 UserPurge1: 236    15902    2.37%
      0     0      951.8889   139      929.8326 UserPurge1: 225    15931    2.37%
      0     0      951.8812   216      929.8326 UserPurge1: 219    15944    2.37%
      0     0      951.8697   181      929.8326 UserPurge1: 231    15978    2.37%
      0     0      951.8653   165      929.8326 UserPurge1: 224    15983    2.37%
      0     0      951.8600   191      929.8326 UserPurge1: 225    16008    2.37%
      0     0      951.8589   214      929.8326 UserPurge1: 227    16011    2.37%
