Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 76587.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 1.63 sec. (402.39 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0     1256.9913    19                   1293.6631      766         
*     0+    0                         1144.8614     1256.9913      766    9.79%
      0     0     1250.6297    15     1144.8614       Cuts: 3      768    9.24%
*     0+    0                         1221.9855     1250.6297      768    2.34%
      0     0     1249.6986     6     1221.9855  ZeroHalf: 12      780    2.27%
*     0+    0                         1229.6702     1249.6986      780    1.63%
      0     0     1248.4774     5     1229.6702   ZeroHalf: 1      781    1.53%
*     0+    0                         1241.7594     1248.4774      781    0.54%
      0     0     1248.1729     5     1241.7594       Cuts: 9      782    0.52%
      0     0     1248.1051     9     1241.7594   ZeroHalf: 2      784    0.51%
      0     0     1247.5437     8     1241.7594   ZeroHalf: 3      785    0.47%
      0     0     1247.4816    10     1241.7594   ZeroHalf: 2      786    0.46%
      0     0     1247.4371     8     1241.7594   ZeroHalf: 1      787    0.46%
      0     0     1247.2097     4     1241.7594   ZeroHalf: 2      789    0.44%
      0     0     1247.1352     6     1241.7594   ZeroHalf: 1      790    0.43%
      0     0     1247.1300    11     1241.7594 UserPurge1: 191      791    0.43%
      0     0     1247.1283     6     1241.7594 UserPurge1: 196      792    0.43%
      0     0     1247.1231    11     1241.7594 UserPurge1: 192      794    0.43%
      0     0     1247.1139    21     1241.7594 UserPurge1: 197      795    0.43%
      0     0     1247.1116    23     1241.7594 UserPurge1: 195      796    0.43%
      0     0     1247.0948    24     1241.7594 UserPurge1: 197      801    0.43%
      0     0     1247.0926    26     1241.7594 UserPurge1: 197      804    0.43%
      0     0     1247.0886     6     1241.7594 UserPurge1: 199      808    0.43%
      0     0     1247.0860    21     1241.7594 UserPurge1: 194      811    0.43%
      0     0     1247.0840    27     1241.7594 UserPurge1: 199      812    0.43%
      0     0     1247.0829    32     1241.7594 UserPurge1: 201      815    0.43%
      0     0     1247.0809     9     1241.7594 UserPurge1: 203      816    0.43%
      0     0     1247.0797    37     1241.7594 UserPurge1: 194      817    0.43%
      0     0     1247.0662     9     1241.7594 UserPurge1: 208      821    0.43%
      0     0     1247.0593     9     1241.7594 UserPurge1: 194      824    0.43%
      0     0     1247.0570     6     1241.7594 UserPurge1: 195      828    0.43%
      0     0     1247.0355     8     1241.7594 UserPurge1: 189      829    0.42%
      0     0     1247.0314     8     1241.7594 UserPurge1: 193      831    0.42%
      0     0     1247.0261     8     1241.7594 UserPurge1: 196      834    0.42%
      0     0     1247.0253    16     1241.7594 UserPurge1: 194      835    0.42%
      0     0     1247.0129    23     1241.7594 UserPurge1: 199      844    0.42%
      0     0     1247.0122    30     1241.7594 UserPurge1: 198      846    0.42%
      0     0     1247.0094    11     1241.7594 UserPurge1: 202      847    0.42%
      0     0     1247.0087    25     1241.7594 UserPurge1: 197      850    0.42%
      0     0     1247.0081     9     1241.7594 UserPurge1: 200      851    0.42%
      0     0     1247.0070    39     1241.7594 UserPurge1: 195      854    0.42%
      0     0     1247.0066    33     1241.7594 UserPurge1: 209      855    0.42%
      0     0     1247.0049    20     1241.7594 UserPurge1: 206      858    0.42%
      0     0     1247.0046    20     1241.7594 UserPurge1: 203      859    0.42%
      0     0     1247.0031    44     1241.7594 UserPurge1: 200      863    0.42%
      0     0     1246.9839     6     1241.7594 UserPurge1: 214      871    0.42%
      0     0     1246.9812     5     1241.7594 UserPurge1: 195      873    0.42%
      0     0     1246.9757    10     1241.7594 UserPurge1: 193      876    0.42%
      0     0     1246.9743    11     1241.7594 UserPurge1: 198      877    0.42%
      0     0     1246.9729    10     1241.7594 UserPurge1: 194      879    0.42%
      0     0     1246.9715    13     1241.7594 UserPurge1: 198      882    0.42%
      0     0     1246.9707     8     1241.7594 UserPurge1: 196      883    0.42%
      0     0     1246.9689    21     1241.7594 UserPurge1: 195      886    0.42%
      0     0     1246.9649    19     1241.7594 UserPurge1: 202      890    0.42%
      0     0     1246.9649    25     1241.7594 UserPurge1: 202      891    0.42%
