gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000001	0.142230398404304	7.09981419903498	0.548945999152816	0.74493661201991	Gnai3	-13.737999509194	mus	-15.4993636519812	FALSE	FALSE	FALSE
ENSMUSG00000000028	-0.465187815042778	6.96510441200247	0.0560131033220843	0.165696161879176	Cdc45	-11.705359556341	mus	-14.6207446461915	FALSE	FALSE	FALSE
ENSMUSG00000000056	-0.320410845091206	5.22286057607679	0.223338747298574	0.433645222282452	Narf	-12.9371045229023	mus	-15.1339698651582	FALSE	FALSE	FALSE
ENSMUSG00000000078	0.55204347330373	6.86719496616239	0.0261010049955453	0.0946224947486139	Klf6	-11.025313065835	mus	-14.3272879244232	FALSE	FALSE	FALSE
ENSMUSG00000000085	-0.25832219844889	4.84110349686214	0.312699234544372	0.534463599137873	Scmh1	-13.2368263185684	mus	-15.2676689820649	FALSE	FALSE	FALSE
ENSMUSG00000000088	0.240606753536162	6.70296154912174	0.328725282009983	0.551230313056812	Cox5a	-13.281337304482	mus	-15.2881953893949	FALSE	FALSE	FALSE
ENSMUSG00000000131	-0.389077157494332	8.48126742623716	0.107273542961841	0.265993629718741	Xpo6	-12.2840459267247	mus	-14.8539433508451	FALSE	FALSE	FALSE
ENSMUSG00000000134	0.501354962638487	6.55603051390672	0.084188041840855	0.223163224552283	Tcfe3	-12.0682358951291	mus	-14.76828472187	FALSE	FALSE	FALSE
ENSMUSG00000000142	-2.09554095062439	5.34951486568048	3.44915556605124e-07	6.14631820406546e-06	Axin2	-1.02053368156413	mus	-9.45992920196374	FALSE	FALSE	TRUE
ENSMUSG00000000148	0.137944596349474	5.40633489072073	0.601284027305425	0.7835677865213	Baat1	-13.8191009564257	mus	-15.5376254206227	FALSE	FALSE	FALSE
ENSMUSG00000000149	0.0570654896299542	4.17563003251346	0.839604361281119	0.9236377312919	Gna12	-14.1164282140594	mus	-15.6918475203779	FALSE	FALSE	FALSE
ENSMUSG00000000168	0.260447908380767	6.20565442016842	0.34465561228422	0.56663289524008	Dlat	-13.3234818116351	mus	-15.3098668514158	FALSE	FALSE	FALSE
ENSMUSG00000000171	-0.0919030311465525	6.03405263273742	0.718998618786187	0.858357898033772	Sdhd	-13.9783269956192	mus	-15.6206739709732	FALSE	FALSE	FALSE
ENSMUSG00000000184	0.0449141436723904	8.65846950911823	0.873667767234766	0.941774236692141	Ccnd2	-14.1518454696519	mus	-15.7096712584308	FALSE	FALSE	FALSE
ENSMUSG00000000194	0.251024899552917	5.78132788399444	0.378149146811102	0.599138563519111	Gpr107	-13.4060755381472	mus	-15.3477901570836	FALSE	FALSE	FALSE
ENSMUSG00000000244	-1.30590958775949	6.29969254523184	0.00149597154465748	0.0101793483973557	Tspan32	-8.47900948966923	mus	-13.0486023221429	FALSE	FALSE	TRUE
ENSMUSG00000000275	0.50822163424345	6.64546083033391	0.0450117559847103	0.141228966474914	Trim25	-11.5106267268115	mus	-14.5478212677723	FALSE	FALSE	FALSE
ENSMUSG00000000276	0.175703618201017	3.80214570091104	0.54247473562366	0.740509495555669	Dgke	-13.7274386822684	mus	-15.4955078214682	FALSE	FALSE	FALSE
ENSMUSG00000000278	1.05441612508399	6.30117991393837	1.48146565346371e-05	0.000186191403218785	Scpep1	-4.36912534019689	mus	-11.0298608512791	FALSE	FALSE	TRUE
ENSMUSG00000000282	0.34152548848106	5.74892810739455	0.199350529863435	0.40372366687768	Mnt	-12.8359140569316	mus	-15.0861825589153	FALSE	FALSE	FALSE
ENSMUSG00000000290	-0.28437130182291	8.80924168665232	0.301029763348287	0.522088008495428	Itgb2	-13.2029557233583	mus	-15.2489566889772	FALSE	FALSE	FALSE
ENSMUSG00000000295	-0.117909933563854	4.90798269491558	0.645127370833588	0.812466196688995	Hddc2	-13.8817792872468	mus	-15.5687831006039	FALSE	FALSE	FALSE
ENSMUSG00000000301	0.477703983801066	1.76199046296768	0.181186627953554	0.378675307543033	Pemt	-12.7508319606104	mus	-15.0561110704474	FALSE	FALSE	FALSE
ENSMUSG00000000308	-2.96907450689905	3.80076852840218	1.66394895972049e-05	0.000205659010966891	Ckmt1	-4.47257502102733	mus	-11.0652412146109	FALSE	FALSE	TRUE
ENSMUSG00000000326	0.852520125591359	5.92581135540858	0.0111801328214932	0.0497671808822884	Comt	-10.2702598928697	mus	-13.9710984920398	FALSE	FALSE	FALSE
ENSMUSG00000000339	0.117700097134033	5.26121090620292	0.652775105278468	0.817024654137337	Rtcd1	-13.892274511314	mus	-15.5759421457972	FALSE	FALSE	FALSE
ENSMUSG00000000340	-0.336970007592934	4.65195516727506	0.296234464598914	0.516192712564514	Dbt	-13.188655117173	mus	-15.2440821894576	FALSE	FALSE	FALSE
ENSMUSG00000000346	-0.154795145862137	6.42560828771069	0.589527268411235	0.776743887966831	Dazap2	-13.8015154561422	mus	-15.528139053958	FALSE	FALSE	FALSE
ENSMUSG00000000355	-0.0950881153625571	5.73964808985206	0.703944677502101	0.848820837657131	Mcts1	-13.9594829226363	mus	-15.6116963518426	FALSE	FALSE	FALSE
ENSMUSG00000000374	0.245274375412758	7.40332615079141	0.348165173270875	0.57071257091933	Trappc10	-13.3325044084335	mus	-15.3137673956983	FALSE	FALSE	FALSE
ENSMUSG00000000378	-0.574443174406054	7.18221031638103	0.0770614956136008	0.208678645295871	Ccm2	-11.9894661240989	mus	-14.7438825646331	FALSE	FALSE	FALSE
