gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000001	0.0113759973647779	6.87004457904639	0.92345943357212	0.993472576746423	Gnai3	-9.52696136988551	mus	-6.8367439983213	FALSE	FALSE	FALSE
ENSMUSG00000000028	-0.213515590086752	1.9244335116582	0.360016145117111	0.859656055717878	Cdc45	-8.70379665957434	mus	-5.74888607217176	FALSE	FALSE	FALSE
ENSMUSG00000000056	-0.145048130976577	4.89149567870256	0.262333907023927	0.79719008002096	Narf	-8.42719048672076	mus	-5.36980670799632	FALSE	FALSE	FALSE
ENSMUSG00000000078	-0.202821236615299	8.78000838371961	0.158271199123758	0.703438733687138	Klf6	-7.98561772475897	mus	-4.71341726954527	FALSE	FALSE	FALSE
ENSMUSG00000000085	0.181809839919232	4.84326202722971	0.161558280010667	0.706685912929395	Scmh1	-8.00358090280924	mus	-4.73533402962744	FALSE	FALSE	FALSE
ENSMUSG00000000088	0.144493394465264	5.29274818991824	0.256524712340563	0.79322903297155	Cox5a	-8.40762182952287	mus	-5.34044637682631	FALSE	FALSE	FALSE
ENSMUSG00000000131	0.00587554493786376	9.02071453187175	0.959949015474585	0.999011258746377	Xpo6	-9.5608266523992	mus	-6.87502699968757	FALSE	FALSE	FALSE
ENSMUSG00000000134	-0.266842759016896	5.93029207170038	0.121558542098578	0.643659622367541	Tcfe3	-7.75499161324371	mus	-4.39165236905291	FALSE	FALSE	FALSE
ENSMUSG00000000142	0.294399131382647	6.66549549240018	0.00542146949508598	0.154081605253198	Axin2	-5.03723578840502	mus	-1.03269966026972	FALSE	FALSE	FALSE
ENSMUSG00000000148	-0.0307865139353033	5.24639977453598	0.807190257719818	0.979846885727006	Baat1	-9.40936712148976	mus	-6.68444733673573	FALSE	FALSE	FALSE
ENSMUSG00000000149	-0.180417529540346	3.9043137443095	0.258021571364836	0.79424806337319	Gna12	-8.41270615871047	mus	-5.34875495824825	FALSE	FALSE	FALSE
ENSMUSG00000000168	-0.0498187427872017	5.28184109857642	0.667545808960953	0.95292138609288	Dlat	-9.24337462788782	mus	-6.47492709649864	FALSE	FALSE	FALSE
ENSMUSG00000000171	0.0579052902873945	4.79582730678469	0.649250313976219	0.950657019158943	Sdhd	-9.21909010614981	mus	-6.44345487491088	FALSE	FALSE	FALSE
ENSMUSG00000000184	-0.0609180197877075	7.06463623569604	0.723428429063936	0.964382338220717	Ccnd2	-9.31362804873512	mus	-6.56685278903082	FALSE	FALSE	FALSE
ENSMUSG00000000194	-0.108329366609828	5.11981875124403	0.356230721857964	0.858261189710722	Gpr107	-8.69455964270347	mus	-5.73888410548142	FALSE	FALSE	FALSE
ENSMUSG00000000244	-0.0173736965622245	7.02812622917501	0.880392586581005	0.988160865015702	Tspan32	-9.48522634367312	mus	-6.78465351586167	FALSE	FALSE	FALSE
ENSMUSG00000000275	-0.210501696267545	6.75476439057327	0.165173500459182	0.711115721854844	Trim25	-8.02292004079279	mus	-4.76285199323345	FALSE	FALSE	FALSE
ENSMUSG00000000276	0.0366856897796029	5.12729330590875	0.796058057681019	0.97559339649409	Dgke	-9.39723146789368	mus	-6.67326464615887	FALSE	FALSE	FALSE
ENSMUSG00000000278	0.0226041233728971	1.86395610061303	0.930849716009563	0.994539552461217	Scpep1	-9.53392694815768	mus	-6.84537248046842	FALSE	FALSE	FALSE
ENSMUSG00000000282	-0.25649335754199	6.72338672518991	0.180257196571835	0.72478162346076	Mnt	-8.09928587250675	mus	-4.88042781252671	FALSE	FALSE	FALSE
ENSMUSG00000000290	0.0166133903290414	9.68604344003971	0.881360585283938	0.988160865015702	Itgb2	-9.48618664104259	mus	-6.78550482037357	FALSE	FALSE	FALSE
ENSMUSG00000000295	0.228470513559792	4.26817378885456	0.113711466364068	0.631319009379422	Hddc2	-7.69667686831838	mus	-4.3165497045705	FALSE	FALSE	FALSE
ENSMUSG00000000301	0.12333199446008	1.33557881886392	0.724188387454375	0.964787610750778	Pemt	-9.31454556171496	mus	-6.56734638767329	FALSE	FALSE	FALSE
ENSMUSG00000000326	0.0934183863970654	3.0451857517876	0.604567253303732	0.941272351988709	Comt	-9.1567785634606	mus	-6.3671482364448	FALSE	FALSE	FALSE
ENSMUSG00000000339	0.24196659495084	4.33418634766988	0.0610430740703845	0.504276228169777	Rtcd1	-7.15305694596829	mus	-3.60621463883294	FALSE	FALSE	FALSE
ENSMUSG00000000340	-0.352744777589577	3.8178866740421	0.0123365310777018	0.247807469072533	Dbt	-5.75572852709924	mus	-1.81252031608732	FALSE	FALSE	FALSE
ENSMUSG00000000346	-0.0329597842481367	7.03616184870971	0.770137557596285	0.971765426756819	Dazap2	-9.36830382746106	mus	-6.63610862657235	FALSE	FALSE	FALSE
ENSMUSG00000000355	-0.11738225669177	5.18453799278571	0.430364933305831	0.891908490368613	Mcts1	-8.85976874017265	mus	-5.95981995475442	FALSE	FALSE	FALSE
ENSMUSG00000000374	-0.0155056516627149	7.54210338180306	0.889967191412088	0.990973766221157	Trappc10	-9.49467868816367	mus	-6.79302891257846	FALSE	FALSE	FALSE
ENSMUSG00000000378	0.0997044938966987	7.94277492556194	0.36251031038475	0.860271319740086	Ccm2	-8.70982987983669	mus	-5.75755848811424	FALSE	FALSE	FALSE
ENSMUSG00000000384	-0.0196923124287197	7.04139985293564	0.883800375599575	0.988667439202441	Tbrg4	-9.48860234910109	mus	-6.78815521370526	FALSE	FALSE	FALSE
ENSMUSG00000000399	-0.0322980929216932	6.08082550289905	0.78938744028113	0.973973730439896	Ndufa9	-9.38987798206588	mus	-6.66485815879782	FALSE	FALSE	FALSE
ENSMUSG00000000409	0.0824777311236334	10.4360119450791	0.477370706138315	0.9131754800648	Lck	-8.95035377101012	mus	-6.07903728436739	FALSE	FALSE	FALSE
ENSMUSG00000000420	-0.0168256982927582	7.0154575831943	0.880838539721056	0.988160865015702	Galnt1	-9.48566887993757	mus	-6.7848183382224	FALSE	FALSE	FALSE
ENSMUSG00000000439	-0.209929296727078	4.84950940343832	0.153798758318777	0.694518730819094	Mkrn2	-7.96056826534234	mus	-4.68968122166942	FALSE	FALSE	FALSE
ENSMUSG00000000441	0.0400208880112191	8.15195424635702	0.711107288502344	0.96308428055093	Raf1	-9.29861647554593	mus	-6.54691985128731	FALSE	FALSE	FALSE
ENSMUSG00000000486	0.114749638502222	9.67828548940234	0.318898462055195	0.833519952543541	Sept1	-8.59781729667269	mus	-5.61093477464085	FALSE	FALSE	FALSE
ENSMUSG00000000530	0.0502091251409622	5.46850719622515	0.706485146834524	0.96308428055093	Acvrl1	-9.29291785963145	mus	-6.53621698525599	FALSE	FALSE	FALSE
ENSMUSG00000000531	0.137380761337066	3.58258570415582	0.416122667482748	0.883654045615173	Grasp	-8.83036006541643	mus	-5.92447800166269	FALSE	FALSE	FALSE
ENSMUSG00000000532	0.098535439383598	5.27690177592922	0.429790325109261	0.891908490368613	Acvr1b	-8.8586012021985	mus	-5.958317806897	FALSE	FALSE	FALSE
ENSMUSG00000000538	0.126055304585442	5.37547907696632	0.315469743075353	0.831353293057157	Tom1l2	-8.58837080175972	mus	-5.59775283249958	FALSE	FALSE	FALSE
ENSMUSG00000000555	-0.0685632477796619	3.47570032820143	0.655150602972396	0.951443946575437	Itga5	-9.22699582076206	mus	-6.45420803792846	FALSE	FALSE	FALSE
ENSMUSG00000000561	-0.12214640756987	4.94519447635019	0.323514398610695	0.837404351925175	Wdr77	-8.61037554483084	mus	-5.62187871445518	FALSE	FALSE	FALSE
ENSMUSG00000000563	0.0174210560184191	6.17456504665587	0.879519045231597	0.988044871162088	Atp5f1	-9.48435884539092	mus	-6.78375271785387	FALSE	FALSE	FALSE
ENSMUSG00000000568	0.0372679059906744	7.66782766716615	0.74303258698198	0.968838331029027	Hnrnpd	-9.33699378796187	mus	-6.59052894506924	FALSE	FALSE	FALSE
ENSMUSG00000000581	-0.023584010023107	4.32498370697108	0.877089754904353	0.987534281027781	C1d	-9.4819418232659	mus	-6.7807397700568	FALSE	FALSE	FALSE
ENSMUSG00000000594	0.1099710766527	5.74788922784544	0.314783804274698	0.831293357760804	Gm2a	-8.58646864535166	mus	-5.59131446090999	FALSE	FALSE	FALSE
ENSMUSG00000000600	-0.0401903277788095	6.50833725819146	0.713670113376277	0.96308428055093	Krit1	-9.30176022815483	mus	-6.55082933360518	FALSE	FALSE	FALSE
ENSMUSG00000000605	-0.035086129778197	6.3891571352931	0.737638232424002	0.968838331029027	Clcn4-2	-9.33062643574037	mus	-6.58238353833937	FALSE	FALSE	FALSE
ENSMUSG00000000617	-0.328931089628062	3.25193764619491	0.061931430859742	0.505185544211244	Grm6	-7.16568265800611	mus	-3.64107825934592	FALSE	FALSE	FALSE
ENSMUSG00000000627	0.0123009300751036	5.2804547744617	0.93590104680773	0.996279283181347	Sema4f	-9.53865624435602	mus	-6.84948282433782	FALSE	FALSE	FALSE
ENSMUSG00000000628	-0.309619217610457	1.83076493764459	0.255814608644677	0.79322903297155	Hk2	-8.40519946027213	mus	-5.33472412763991	FALSE	FALSE	FALSE
ENSMUSG00000000631	-0.148634552925002	7.39410562508203	0.194898529527355	0.744467314741442	Myo18a	-8.1675300590523	mus	-4.96662776638167	FALSE	FALSE	FALSE
ENSMUSG00000000682	0.162477921473756	8.49366516798286	0.253253122110022	0.792316644761982	Cd52	-8.3964052639588	mus	-5.32045235262838	FALSE	FALSE	FALSE
ENSMUSG00000000708	-0.288619557935989	6.09547716089719	0.00713808061897443	0.1834555026068	Kat2b	-5.2776168734563	mus	-1.26879315450581	FALSE	FALSE	FALSE
ENSMUSG00000000711	-0.202072274482419	2.55634011779265	0.270759820591363	0.802491231130197	Rab5b	-8.45481696832339	mus	-5.41620153875387	FALSE	FALSE	FALSE
ENSMUSG00000000732	0.409872193161608	1.74108889789261	0.0923182910239447	0.587544668525023	Icosl	-7.51454353091269	mus	-4.07457643659024	FALSE	FALSE	FALSE
ENSMUSG00000000738	0.01402956146116	7.10238110030618	0.902109928431067	0.99247743811148	Spg7	-9.50652116442986	mus	-6.80764006271699	FALSE	FALSE	FALSE
ENSMUSG00000000740	0.251890855121466	5.70312948577257	0.0344033831480775	0.400882308223922	Rpl13	-6.65195915417125	mus	-2.95444133382638	FALSE	FALSE	FALSE
ENSMUSG00000000743	-0.0696879934267271	5.1223628481567	0.555707546885518	0.927246280659206	Chmp1a	-9.08313701989485	mus	-6.27616880512516	FALSE	FALSE	FALSE
ENSMUSG00000000751	0.0492584565374172	7.65485108120047	0.668752694905853	0.953292501156612	Rpa1	-9.24495310703072	mus	-6.47686558168227	FALSE	FALSE	FALSE
ENSMUSG00000000759	0.0372504857904701	7.31794431522817	0.734220971934975	0.968838331029027	Tubgcp3	-9.32656865497029	mus	-6.57848689672984	FALSE	FALSE	FALSE
ENSMUSG00000000776	0.011981843421518	4.86421647600864	0.937762437520369	0.996536717073369	Polr3d	-9.54039253359978	mus	-6.85078409760026	FALSE	FALSE	FALSE
ENSMUSG00000000782	-0.0701391418925111	10.7213356125092	0.534892539618431	0.923970245429058	Tcf7	-9.04977596591486	mus	-6.2238442092339	FALSE	FALSE	FALSE
