gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000000003	-0.105907812459419	1.57050926446186	0.594772653936502	0.807022034996991	TSPAN6	-6.74885741928211	hsa	FALSE	FALSE
ENSG00000000419	0.119908319420247	5.53359485318245	0.109910199618576	0.344725802531325	DPM1	-5.57799995212576	hsa	FALSE	FALSE
ENSG00000000457	-0.078954730916984	4.26820178360417	0.454613721610932	0.71453048324428	SCYL3	-6.56251275598311	hsa	FALSE	FALSE
ENSG00000000460	0.0323698380993286	3.12176168702915	0.816357600937812	0.919537441266747	C1orf112	-6.96844630176198	hsa	FALSE	FALSE
ENSG00000001036	-0.247066909095064	1.29133993883119	0.358811451695839	0.640531730106532	FUCA2	-6.3984132050302	hsa	FALSE	FALSE
ENSG00000001084	0.11513428421803	5.2997483970627	0.172940328528666	0.441838033676173	GCLC	-5.89231729262579	hsa	FALSE	FALSE
ENSG00000001167	0.0722294363755886	5.10616341567959	0.372925368566532	0.652855664100523	NFYA	-6.42516638850584	hsa	FALSE	FALSE
ENSG00000001460	0.0635614579678836	2.45187249655438	0.688357028456009	0.860086578909393	C1orf201	-6.85018638128318	hsa	FALSE	FALSE
ENSG00000001461	-0.0518671846228566	5.16856987028615	0.544013422308936	0.773810791994409	NIPAL3	-6.68700029766781	hsa	FALSE	FALSE
ENSG00000001497	-0.120054836628377	6.58077483954147	0.0719329895363604	0.270923981181261	LAS1L	-5.28403756939376	hsa	FALSE	FALSE
ENSG00000001561	0.0771324010533557	3.39584904695041	0.505886215937122	0.749439880418323	ENPP4	-6.63661461149617	hsa	FALSE	FALSE
ENSG00000001629	0.106794444464633	5.453089660086	0.173768099722714	0.442966509109345	ANKIB1	-5.89562841849506	hsa	FALSE	FALSE
ENSG00000001630	0.0207109073256766	1.5476722800613	0.920788046376825	0.967793632022144	CYP51A1	-7.05191888363059	hsa	FALSE	FALSE
ENSG00000001631	0.211615981842904	4.60576705531277	0.0295998244810689	0.159017984208342	KRIT1	-4.66830012169637	hsa	FALSE	FALSE
ENSG00000002016	-0.161893515896482	3.47691305045361	0.191395929976183	0.464987109187565	RAD52	-5.9626288374514	hsa	FALSE	FALSE
ENSG00000002330	-0.182963699157938	3.09831546704953	0.167934886741132	0.435253967731955	BAD	-5.87195122589477	hsa	FALSE	FALSE
ENSG00000002549	0.080578351439113	5.24223034294537	0.353172527479268	0.635952413941481	LAP3	-6.38742911528393	hsa	FALSE	FALSE
ENSG00000002586	-0.0681650551993615	6.45473033291587	0.309750011229602	0.598364404018837	CD99	-6.29645802012264	hsa	FALSE	FALSE
ENSG00000002822	-0.0597772998978312	6.56781925830315	0.377808863549911	0.655947815656943	MAD1L1	-6.43418790624763	hsa	FALSE	FALSE
ENSG00000002834	-0.0999788695783222	5.28597628294354	0.20043640469421	0.475687826935995	LASP1	-5.99463230232353	hsa	FALSE	FALSE
ENSG00000002919	-0.107420569907508	3.50209361298926	0.338208149982144	0.623597525335958	SNX11	-6.35740721316672	hsa	FALSE	FALSE
ENSG00000003056	-0.0893473662773107	4.77917766854984	0.329522518959682	0.616682045045989	M6PR	-6.33936650823766	hsa	FALSE	FALSE
ENSG00000003393	0.197349519714191	4.00159467322553	0.0496343062613201	0.216310282915788	ALS2	-5.02674064630447	hsa	FALSE	FALSE
ENSG00000003400	0.133850584674945	4.52272830180539	0.194031402759038	0.468309754660166	CASP10	-5.9721119684489	hsa	FALSE	FALSE
ENSG00000003402	0.0813921049744574	6.92579990350209	0.220560727273716	0.501476659866973	CFLAR	-6.06097638633178	hsa	FALSE	FALSE
ENSG00000003436	0.306384597902192	1.71354747278669	0.110174696221938	0.34505354944687	TFPI	-5.57966665822642	hsa	FALSE	FALSE
ENSG00000003509	0.000231657322170391	4.75467738661134	0.997965835540068	0.999153324635189	C2orf56	-7.10773201559869	hsa	FALSE	FALSE
ENSG00000003756	-0.0502885478160876	8.10975503972546	0.504544042005721	0.749439880418323	RBM5	-6.63477243317543	hsa	FALSE	FALSE
ENSG00000004059	-0.031135406085194	6.42639201781346	0.675141384035137	0.853221033583884	ARF5	-6.8367439983213	hsa	FALSE	FALSE
ENSG00000004139	0.122129383802699	2.46201687831014	0.414475268114102	0.684071185938025	SARM1	-6.49841624155478	hsa	FALSE	FALSE
ENSG00000004142	0.0411187137344913	6.42180754818901	0.532809759625337	0.767324959630264	POLDIP2	-6.67257049954897	hsa	FALSE	FALSE
ENSG00000004399	-0.163034347651365	6.16695226400277	0.0223991314537158	0.132958183781994	PLXND1	-4.47501074314028	hsa	FALSE	FALSE
ENSG00000004455	0.0147685545688376	3.80133717553118	0.891262625854672	0.956422679343956	AK2	-7.02931967938119	hsa	FALSE	FALSE
ENSG00000004468	0.046461116747615	3.96880626635877	0.653627823793467	0.841253784855602	CD38	-6.81428814106337	hsa	FALSE	FALSE
ENSG00000004478	-0.113233453218128	4.70490467811397	0.252482170696159	0.538364162249743	FKBP4	-6.15470484366122	hsa	FALSE	FALSE
ENSG00000004487	-0.118199856258741	6.82259201517642	0.0682121142705108	0.262778842310807	KDM1A	-5.2472078665638	hsa	FALSE	FALSE
ENSG00000004534	-0.136917354678151	7.08241081130157	0.0363165683639281	0.179002310476014	RBM6	-4.81010926624659	hsa	FALSE	FALSE
ENSG00000004660	-0.0457240258678135	3.64456218975728	0.68139721458129	0.856821186134349	CAMKK1	-6.84313965076017	hsa	FALSE	FALSE
ENSG00000004700	0.192131956951916	4.98157692796402	0.0457107453394549	0.205088985755158	RECQL	-4.96963796188409	hsa	FALSE	FALSE
