gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000103150	-0.28325412899999	6.67906308225926	-4.08823922831908	0.0511985611561011	0.511581494199124	MLYCD	-3.49020227161206	hsa	FALSE	FALSE
ENSG00000111647	0.260462510111121	6.77966990212346	-5.62919664485082	0.00366830913681668	0.190324846717133	UHRF1BP1L	-2.45918507413986	hsa	FALSE	FALSE
ENSG00000217950	-0.0930002046666552	6.69027693674074	-5.68193522019684	0.490331868870223	0.906647906255106	LOC401010	-4.37391529054928	hsa	FALSE	FALSE
ENSG00000179833	-0.574470618999987	10.0356412361667	-2.96382463093369	0.0130558309364117	0.320149092538752	SERTAD2	-2.95572912159326	hsa	FALSE	FALSE
ENSG00000118785	0.218135014000009	6.6108929587037	-5.84998152414758	0.546415522487111	0.919840451469966	SPP1	-4.41627385310264	hsa	FALSE	FALSE
ENSG00000177494	0.020079360666676	8.68232984959259	-5.90838524334547	0.944248127937834	0.994170513423459	ZBED2	-4.63022685299334	hsa	FALSE	FALSE
ENSG00000115307	0.234477331000012	7.48361854892593	-5.10803920659372	0.196115600173019	0.740811337910772	AUP1	-4.01549017699005	hsa	FALSE	FALSE
ENSG00000116688	0.0930598710000101	8.61006342975926	-5.7886859768263	0.614442040151604	0.939965750698017	MFN2	-4.46216731951998	hsa	FALSE	FALSE
ENSG00000028310	0.126839270000016	10.6721504884444	-5.71163113357879	0.519935373685097	0.915123646868028	BRD9	-4.39684427939883	hsa	FALSE	FALSE
ENSG00000099958	0.246905161666675	6.21227311501852	-3.84415424954516	0.0378208592251633	0.458251990192228	DERL3	-3.37174759637264	hsa	FALSE	FALSE
ENSG00000198832	-0.0447298533333242	6.38170719398148	-5.85373019442551	0.730656607665595	0.966619942139405	SELM	-4.52992277493142	hsa	FALSE	FALSE
ENSG00000156136	0.00752572633334569	7.67889909769444	-5.90566733697728	0.916710874023613	0.992117937946858	DCK	-4.61865056772962	hsa	FALSE	FALSE
ENSG00000179588	-0.0223174713333201	8.4908664455	-5.90634703026187	0.923889114528749	0.99358905268012	ZFPM1	-4.62170137299731	hsa	FALSE	FALSE
ENSG00000095596	0.0418885776666755	6.31814191477778	-5.85723345533493	0.738752457912123	0.96838859583195	CYP26A1	-4.53423278059994	hsa	FALSE	FALSE
ENSG00000158373	-0.296809467333324	7.11379513781482	-5.7266195191516	0.0809936493362384	0.583563885671457	HIST1H2BD	-3.66959875350027	hsa	FALSE	FALSE
ENSG00000130222	0.371708376666679	7.20744565875926	-4.71314064345654	0.114201061886586	0.644538471148841	GADD45G	-3.8039878463474	hsa	FALSE	FALSE
ENSG00000125386	-0.180254207999992	7.44051311222222	-5.05462630750014	0.181848947497702	0.728372005528925	C4orf8	-3.98594877510126	hsa	FALSE	FALSE
ENSG00000137574	-0.0760864959999878	7.47394432764815	-5.82962643733311	0.681336742723317	0.955940232017511	NCOA6IP	-4.5025877397687	hsa	FALSE	FALSE
ENSG00000121350	0.178112086000011	7.09153554974074	-5.05137626004223	0.181020427402111	0.728372005528925	LOC642732	-3.98416266930308	hsa	FALSE	FALSE
ENSG00000039123	-0.0575951776666557	7.77514385146296	-5.88135244715999	0.804790179433637	0.978712492073782	SKIV2L2	-4.56772102141944	hsa	FALSE	FALSE
ENSG00000147099	-0.0104329796666605	6.42339346044444	-5.906757954692	0.927527705677912	0.993864695156432	HDAC8	-4.62323876036583	hsa	FALSE	FALSE
ENSG00000178202	0.109393147333344	6.72517732294444	-5.61530875995449	0.433125969758163	0.885874652043077	KDELC2	-4.32539382619307	hsa	FALSE	FALSE
ENSG00000165272	-0.169085241999989	6.02239942681481	-5.16068806792275	0.211474563752123	0.75640880149287	AQP3	-4.04498172696597	hsa	FALSE	FALSE
ENSG00000164056	-0.394823066666652	9.59602508784568	-5.69223867530648	0.336526875599464	0.843296449908942	LOC730525	-4.22669135345484	hsa	FALSE	FALSE
ENSG00000138190	-0.231865411333321	7.38782628912963	-5.0210749736602	0.173501669478352	0.720857605303013	EXOC6	-3.96756979533689	hsa	FALSE	FALSE
