alpha time_point specie tag fdr_thr src tgt score
0.5 4h mmus WARM 0.001 Bcl3 Stat3 155
0.5 4h mmus WARM 0.001 Bcl3 Stat1 165
0.5 4h mmus WARM 0.001 Phf15 Vhl 278
0.5 4h mmus WARM 0.001 Il2rb Stat3 201
0.5 4h mmus WARM 0.001 Il2rb Jak3 908
0.5 4h mmus WARM 0.001 Il2rb Stat1 187
0.5 4h mmus WARM 0.001 Stat3 Stat1 994
0.5 4h mmus WARM 0.001 Stat3 Il6st 187
0.5 4h mmus WARM 0.001 Stat3 Jak3 699
0.5 4h mmus WARM 0.001 Stat3 Ptpn1 800
0.5 4h mmus WARM 0.001 Stat1 Tbx21 800
0.5 4h mmus WARM 0.001 Stat1 Il6st 177
0.5 4h mmus WARM 0.001 Stat1 Jak3 800
0.5 4h mmus WARM 0.001 Lag3 Cebpz 427
0.5 4h mmus WARM 0.001 Vhl Lpp 259
0.5 4h mmus WARM 0.001 Batf Cebpz 175
0.5 4h mmus WARM 0.001 Apbb1ip Ptpn1 900
0.5 4h mmus WARM 0.001 Il6st Jak3 200
