ENSP00000360644	-8.25804543866848
ENSP00000356744	-8.78932290587851
ENSP00000286031	-8.46237770237132
ENSP00000229416	-8.57113590930387
ENSP00000345702	-8.26499124371481
ENSP00000003583	-8.93952472372342
ENSP00000363520	-8.97512483028028
ENSP00000363944	-8.91438977469712
ENSP00000265742	-8.22981260273228
ENSP00000003100	-8.28235692486023
ENSP00000344668	-7.59013525991995
ENSP00000351284	-8.77028903904383
ENSP00000309103	-9.03668029584068
ENSP00000226299	-8.51167085616316
ENSP00000370588	-5.92278743626882
ENSP00000382562	-8.47237128925449
ENSP00000325240	-6.81384105921105
ENSP00000000412	-5.12876217120063
ENSP00000264276	-8.91049387517073
ENSP00000286186	-2.7002056588023
ENSP00000312455	-7.59741547015755
ENSP00000233156	-7.44690201230251
ENSP00000343054	-8.27546614979189
ENSP00000000233	-8.75387993331827
ENSP00000368351	-7.10793142190091
ENSP00000317128	-9.03550114323712
ENSP00000346921	-9.00663443594963
ENSP00000226279	-3.43684571684649
ENSP00000001008	-8.72837605567426
ENSP00000349049	-8.92929567667258
ENSP00000266022	-8.09600906824244
ENSP00000158166	-8.89801331838605
ENSP00000395449	-8.66579859385504
ENSP00000307666	-8.78201939735019
ENSP00000320038	-8.93615787183838
ENSP00000007516	-8.21679756554056
ENSP00000231749	-7.86430322501573
ENSP00000265631	-8.08750457579433
ENSP00000265437	-9.08649575174425
ENSP00000326579	-8.8002271376776
ENSP00000005340	-9.04691586586421
ENSP00000262803	-8.95293580034423
ENSP00000360671	-8.62547620231391
ENSP00000378145	-7.99063254826243
ENSP00000292614	-9.06198177764597
ENSP00000225296	-8.71845996461295
ENSP00000367787	-8.44245145695367
ENSP00000005386	-7.88312780238648
ENSP00000377914	-8.82865261672846
ENSP00000312244	-8.54238825592186
ENSP00000262367	-8.58887081913729
ENSP00000345824	-5.8007882037026
ENSP00000318690	-8.94512712415843
ENSP00000413575	-8.69252758513228
ENSP00000257745	-9.05226076136152
ENSP00000006777	-7.51403882084428
ENSP00000293894	-8.1897015446841
ENSP00000305721	-8.83819153096143
ENSP00000005082	-8.8518335804126
ENSP00000349892	-8.86050433974857
ENSP00000347834	-8.46809141575839
ENSP00000349252	-7.16912547589835
ENSP00000007708	-8.90087431864022
ENSP00000007722	-7.93044756849279
ENSP00000408411	-8.68998372532322
ENSP00000307617	-8.7126114731918
ENSP00000261386	-7.99652231099376
ENSP00000351422	-8.4902481711051
ENSP00000342059	-7.59345116407521
ENSP00000005279	-8.32279121092156
ENSP00000314414	-8.41127137214826
ENSP00000219069	-8.56526716411034
ENSP00000006658	-9.02769882543867
ENSP00000326737	-8.94836665212644
ENSP00000005257	-2.92766473430922
ENSP00000347581	-8.50633794397893
ENSP00000360323	-8.83469229398767
ENSP00000403042	-8.69849762554564
ENSP00000264042	-8.92017931854694
ENSP00000275428	-7.2605747684972
ENSP00000265728	-8.62323944907365
ENSP00000364336	-8.82715810636188
ENSP00000005558	-7.52162353558078
ENSP00000261643	-8.61602946220001
ENSP00000265755	-7.93091766955626
ENSP00000221265	-7.76233610567168
ENSP00000309457	-8.51301332198328
ENSP00000337445	-8.43226941922464
ENSP00000349616	-8.03752845226365
ENSP00000005995	-8.26505204404231
ENSP00000300843	-8.07621972480843
ENSP00000380378	-8.90813871504649
ENSP00000005905	-9.05787620850651
ENSP00000006275	-7.41890859219587
ENSP00000350734	-6.71619909106158
ENSP00000007264	-8.6747139905378
ENSP00000293872	-8.20472278518552
ENSP00000007390	-8.04262748502514
ENSP00000026218	-8.986118527493
ENSP00000293925	-9.05840487887781
ENSP00000366800	-8.90848821284967
ENSP00000349298	-8.77501216698131
ENSP00000262193	-8.86651916287568
ENSP00000341280	-8.9219347215147
ENSP00000384442	-8.74143589418138
ENSP00000341679	-7.49060425603022
ENSP00000297044	-8.31247415989041
ENSP00000011473	-8.67515879746112
ENSP00000262013	-6.91313985147155
ENSP00000164024	-8.19959054808198
ENSP00000011691	-8.77698912270785
ENSP00000008527	-5.01510273413115
ENSP00000353219	-7.84642702203203
ENSP00000318445	-5.50978969509931
ENSP00000337816	-6.6602547349252
ENSP00000324742	-6.94296385434478
ENSP00000262304	-8.1817147778165
ENSP00000348610	-8.50172950245424
ENSP00000251822	-8.46022785881056
ENSP00000233099	-8.38109139444313
ENSP00000337688	-8.52095054753943
ENSP00000009589	-8.73604710717072
ENSP00000309198	-9.06000519505391
ENSP00000351697	-7.78024134997811
ENSP00000360171	-8.31347728239976
ENSP00000383690	-8.61239213065605
ENSP00000010299	-8.34040437789984
ENSP00000010338	-4.08490908382673
ENSP00000261534	-8.40640612150079
ENSP00000356602	-8.98804886956878
ENSP00000342434	-8.2854416056248
ENSP00000011619	-9.02705559993777
ENSP00000295050	-8.53200397038553
ENSP00000354920	-8.40101269625728
ENSP00000378165	-7.7257768554526
ENSP00000203407	-8.73549273478974
ENSP00000009041	-7.62468779144349
ENSP00000009180	-4.47659502443437
ENSP00000325017	-7.16748570925744
ENSP00000349364	-6.14370884182503
ENSP00000339958	-7.85336438946725
ENSP00000339801	-8.44720266256133
ENSP00000011653	-4.78529464530382
ENSP00000318094	-8.68058216738379
ENSP00000357656	-6.84374666948912
ENSP00000012134	-8.77963848135619
ENSP00000395574	-9.00594643843082
ENSP00000363638	-8.70763121451621
ENSP00000307513	-8.41765081327206
ENSP00000365572	-8.03036350025585
ENSP00000335615	-8.67401150476052
ENSP00000315136	-8.35559332613952
ENSP00000376827	-9.02727812484614
ENSP00000390849	-8.42658942217811
ENSP00000380557	-8.69280531700485
