Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.87 sec. (3800.98 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      103.6573   762       11.2399 UserPurge1: 4    20242  822.22%
      0     0      103.6572   792       11.2399 UserPurge1: 4    20254  822.22%
      0     0      103.6571   786       11.2399 UserPurge1: 4    20266  822.22%
      0     0      103.6569   792       11.2399 UserPurge1: 4    20280  822.22%
      0     0      103.6567   803       11.2399 UserPurge1: 4    20298  822.22%
      0     0      103.6566   780       11.2399 UserPurge1: 6    20310  822.22%
      0     0      103.6560   792       11.2399 UserPurge1: 4    20355  822.21%
      0     0      103.6553   792       11.2399 UserPurge1: 4    20377  822.20%
      0     0      103.6547   798       11.2399 UserPurge1: 4    20404  822.20%
      0     0      103.6544   810       11.2399 UserPurge1: 4    20434  822.20%
      0     0      103.6540   792       11.2399 UserPurge1: 4    20455  822.19%
      0     0      103.6537   791       11.2399 UserPurge1: 4    20472  822.19%
      0     0      103.6532   804       11.2399 UserPurge1: 6    20489  822.19%
      0     0      103.6529   798       11.2399 UserPurge1: 4    20506  822.18%
      0     0      103.6526   791       11.2399 UserPurge1: 4    20518  822.18%
      0     0      103.6523   774       11.2399 UserPurge1: 4    20543  822.18%
      0     0      103.6522   809       11.2399 UserPurge1: 4    20551  822.18%
      0     0      103.6521   790       11.2399 UserPurge1: 4    20575  822.18%
      0     0      103.6519   816       11.2399 UserPurge1: 4    20608  822.17%
      0     0      103.6517   810       11.2399 UserPurge1: 6    20626  822.17%
      0     0      103.6514   810       11.2399 UserPurge1: 6    20647  822.17%
      0     0      103.6513   792       11.2399 UserPurge1: 4    20655  822.17%
      0     0      103.6513   816       11.2399 UserPurge1: 6    20668  822.17%
      0     0      103.6512   822       11.2399 UserPurge1: 4    20686  822.17%
      0     0      103.6510   822       11.2399 UserPurge1: 6    20700  822.17%
      0     0      103.6505   828       11.2399 UserPurge1: 6    20732  822.16%
      0     0      103.6498   801       11.2399 UserPurge1: 4    20762  822.16%
      0     0      103.6496   811       11.2399 UserPurge1: 4    20773  822.15%
      0     0      103.6495   795       11.2399 UserPurge1: 6    20786  822.15%
      0     0      103.6493   817       11.2399 UserPurge1: 6    20804  822.15%
      0     0      103.6491   813       11.2399 UserPurge1: 6    20820  822.15%
      0     0      103.6489   819       11.2399 UserPurge1: 6    20842  822.15%
      0     0      103.6489   819       11.2399 UserPurge1: 4    20846  822.15%
      0     0      103.6488   801       11.2399 UserPurge1: 4    20855  822.15%
      0     0      103.6488   825       11.2399 UserPurge1: 4    20878  822.15%
      0     0      103.6487   834       11.2399 UserPurge1: 4    20888  822.15%
      0     0      103.6481   786       11.2399 UserPurge1: 4    20937  822.14%
      0     0      103.6479   810       11.2399 UserPurge1: 4    20951  822.14%
      0     0      103.6475   822       11.2399 UserPurge1: 6    20971  822.14%
      0     0      103.6473   816       11.2399 UserPurge1: 6    20993  822.13%
      0     0      103.6472   834       11.2399 UserPurge1: 6    21011  822.13%
      0     0      103.6471   828       11.2399 UserPurge1: 4    21023  822.13%
      0     0      103.6469   831       11.2399 UserPurge1: 6    21051  822.13%
      0     0      103.6458   801       11.2399 UserPurge1: 4    21088  822.12%
      0     0      103.6455   807       11.2399 UserPurge1: 6    21119  822.12%
      0     0      103.6454   789       11.2399 UserPurge1: 4    21132  822.12%
      0     0      103.6451   807       11.2399 UserPurge1: 4    21149  822.11%
      0     0      103.6450   843       11.2399 UserPurge1: 6    21160  822.11%
      0     0      103.6449   834       11.2399 UserPurge1: 6    21186  822.11%
      0     0      103.6447   825       11.2399 UserPurge1: 4    21219  822.11%
      0     0      103.6446   855       11.2399 UserPurge1: 6    21249  822.11%
      0     0      103.6444   825       11.2399 UserPurge1: 4    21275  822.11%
      0     0      103.6437   825       11.2399 UserPurge1: 4    21318  822.10%
      0     0      103.6435   831       11.2399 UserPurge1: 4    21336  822.10%
      0     0      103.6433   837       11.2399 UserPurge1: 6    21357  822.10%
      0     0      103.6431   837       11.2399 UserPurge1: 6    21376  822.10%
      0     0      103.6429   849       11.2399 UserPurge1: 6    21407  822.09%
      0     0      103.6428   831       11.2399 UserPurge1: 4    21413  822.09%
      0     0      103.6424   841       11.2399 UserPurge1: 6    21440  822.09%
      0     0      103.6421   847       11.2399 UserPurge1: 6    21470  822.09%
      0     0      103.6418   829       11.2399 UserPurge1: 4    21487  822.08%
      0     0      103.6416   846       11.2399 UserPurge1: 4    21513  822.08%
      0     0      103.6416   749       11.2399 UserPurge1: 6    21527  822.08%
      0     0      103.6410   831       11.2399 UserPurge1: 25    21561  822.08%
      0     0      103.6406   825       11.2399 UserPurge1: 4    21606  822.07%
      0     0      103.6401   849       11.2399 UserPurge1: 4    21619  822.07%
      0     0      103.6398   837       11.2399 UserPurge1: 4    21649  822.07%
      0     0      103.6396   837       11.2399 UserPurge1: 4    21672  822.06%
      0     0      103.6395   831       11.2399 UserPurge1: 4    21682  822.06%
      0     0      103.6393   840       11.2399 UserPurge1: 4    21721  822.06%
      0     0      103.6392   852       11.2399 UserPurge1: 4    21751  822.06%
      0     0      103.6391   852       11.2399 UserPurge1: 4    21764  822.06%
      0     0      103.6391   855       11.2399 UserPurge1: 4    21790  822.06%
      0     0      103.6390   852       11.2399 UserPurge1: 4    21824  822.06%
      0     0      103.6388   873       11.2399 UserPurge1: 4    21872  822.06%
      0     0      103.6385   867       11.2399 UserPurge1: 4    21904  822.06%
      0     0      103.6383   879       11.2399 UserPurge1: 4    21926  822.05%
      0     0      103.6380   831       11.2399 UserPurge1: 4    21957  822.05%
      0     0      103.6378   831       11.2399 UserPurge1: 4    21971  822.05%
      0     0      103.6376   837       11.2399 UserPurge1: 4    22006  822.05%
      0     0      103.6374   849       11.2399 UserPurge1: 4    22026  822.04%
      0     0      103.6372   837       11.2399 UserPurge1: 4    22043  822.04%
      0     0      103.6371   861       11.2399 UserPurge1: 4    22058  822.04%
