gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000325	0.084763280744603	4.3220569418515	-7.02797183261362	0.180997118226812	0.471769797483441	Arvcf	-3.17339832900618	mus	-6.46753641548924	FALSE	FALSE	FALSE
ENSMUSG00000000326	0.105235129749828	8.52516404274227	-7.05227014376429	0.17019192622543	0.456186072871809	Comt1	-3.12793998809784	mus	-6.44487785819984	FALSE	FALSE	FALSE
ENSMUSG00000000340	-0.686873911989152	7.89079277125099	0.138880261469144	0.000229751603522761	0.0043112816539508	Dbt	1.75188426582711	mus	-4.27234053263267	TRUE	FALSE	FALSE
ENSMUSG00000000346	0.375611356686007	11.6358037294512	-0.240307163230021	0.000337067431333153	0.00589320726322526	Dazap2	1.46882593030962	mus	-4.39491467378858	TRUE	FALSE	FALSE
ENSMUSG00000000355	-0.0721223878317603	10.890629607461	-6.75488632122693	0.449925043893827	0.740519299682729	Mcts1	-3.8458832554482	mus	-6.83471393435308	FALSE	FALSE	FALSE
ENSMUSG00000000359	-0.137586361529903	4.01359073154868	-6.98848774424285	0.295009006700615	0.605571248523689	Rem1	-3.53417758292576	mus	-6.6617579604271	FALSE	FALSE	FALSE
ENSMUSG00000000374	0.445187973866801	9.20830868917563	-1.44860379457352	0.001151796677663	0.0153923939159049	Trappc10	0.561351259676469	mus	-4.8123089712689	TRUE	FALSE	FALSE
ENSMUSG00000000378	0.0687296858752953	8.76582615915725	-7.05765839219875	0.416745355359672	0.714352569129991	Ccm2	-3.78930942166818	mus	-6.79981315469756	FALSE	FALSE	FALSE
ENSMUSG00000000384	-0.108425585242846	7.84410281110075	-7.04188210420397	0.150103221354072	0.428010244702988	LOC100046166 /// Tbrg4	-3.03518079276327	mus	-6.39051172837164	FALSE	FALSE	FALSE
ENSMUSG00000000385	-0.171138598353815	4.24507356090808	-7.03655257229128	0.16729388346003	0.452626847686343	Tmprss2	-3.11525631895719	mus	-6.43707203016788	FALSE	FALSE	FALSE
ENSMUSG00000000386	-0.73531174635073	3.42089259349999	-4.55795897766286	0.0301426408892014	0.158154715989868	Mx1	-1.84959371981325	mus	-5.85327728062629	FALSE	FALSE	FALSE
ENSMUSG00000000392	-3.46675997778482	4.52483817464572	18.0414575940604	3.53564815871182e-12	1.64981200081402e-09	Fap	15.0373496824656	mus	7.4017180964126	TRUE	TRUE	TRUE
