ENSMUSP00000000910	ENSMUSG00000000889
ENSMUSP00000000924	ENSMUSG00000000901
ENSMUSP00000000925	ENSMUSG00000000902
ENSMUSP00000000926	ENSMUSG00000000903
ENSMUSP00000000939	ENSMUSG00000000915
ENSMUSP00000000940	ENSMUSG00000000916
ENSMUSP00000000958	ENSMUSG00000000934
ENSMUSP00000000962	ENSMUSG00000000938
ENSMUSP00000000964	ENSMUSG00000029844
ENSMUSP00000000984	ENSMUSG00000000958
ENSMUSP00000000985	ENSMUSG00000000959
ENSMUSP00000001002	ENSMUSG00000000976
ENSMUSP00000001008	ENSMUSG00000000982
ENSMUSP00000001009	ENSMUSG00000000983
ENSMUSP00000001027	ENSMUSG00000063558
ENSMUSP00000001036	ENSMUSG00000032175
ENSMUSP00000001040	ENSMUSG00000001014
ENSMUSP00000001042	ENSMUSG00000001016
ENSMUSP00000001043	ENSMUSG00000001017
ENSMUSP00000001046	ENSMUSG00000001020
ENSMUSP00000001047	ENSMUSG00000001021
ENSMUSP00000001049	ENSMUSG00000001023
ENSMUSP00000001051	ENSMUSG00000001025
ENSMUSP00000001055	ENSMUSG00000001029
ENSMUSP00000001059	ENSMUSG00000020715
ENSMUSP00000001063	ENSMUSG00000001036
ENSMUSP00000001066	ENSMUSG00000001039
ENSMUSP00000001079	ENSMUSG00000001052
ENSMUSP00000001080	ENSMUSG00000001053
ENSMUSP00000001081	ENSMUSG00000001054
ENSMUSP00000001092	ENSMUSG00000001065
ENSMUSP00000001108	ENSMUSG00000029106
ENSMUSP00000001109	ENSMUSG00000001082
ENSMUSP00000001112	ENSMUSG00000052783
ENSMUSP00000001115	ENSMUSG00000074886
ENSMUSP00000001116	ENSMUSG00000001089
ENSMUSP00000001122	ENSMUSG00000001095
ENSMUSP00000001125	ENSMUSG00000001098
ENSMUSP00000001126	ENSMUSG00000020829
ENSMUSP00000001127	ENSMUSG00000001100
ENSMUSP00000001130	ENSMUSG00000001103
ENSMUSP00000001147	ENSMUSG00000001119
ENSMUSP00000001148	ENSMUSG00000001120
ENSMUSP00000001155	ENSMUSG00000001127
ENSMUSP00000001156	ENSMUSG00000001128
ENSMUSP00000001166	ENSMUSG00000001138
ENSMUSP00000001172	ENSMUSG00000079610
ENSMUSP00000001178	ENSMUSG00000001150
ENSMUSP00000001179	ENSMUSG00000001151
ENSMUSP00000001181	ENSMUSG00000020241
ENSMUSP00000001183	ENSMUSG00000001155
ENSMUSP00000001184	ENSMUSG00000001156
ENSMUSP00000001185	ENSMUSG00000001157
ENSMUSP00000001186	ENSMUSG00000001158
ENSMUSP00000001187	ENSMUSG00000029994
ENSMUSP00000001202	ENSMUSG00000001173
ENSMUSP00000001204	ENSMUSG00000001175
ENSMUSP00000001226	ENSMUSG00000022436
ENSMUSP00000001240	ENSMUSG00000001211
ENSMUSP00000001242	ENSMUSG00000053329
ENSMUSP00000001247	ENSMUSG00000029130
ENSMUSP00000001253	ENSMUSG00000020651
ENSMUSP00000001254	ENSMUSG00000001225
ENSMUSP00000001256	ENSMUSG00000001227
ENSMUSP00000001258	ENSMUSG00000001228
ENSMUSP00000001279	ENSMUSG00000001247
ENSMUSP00000001280	ENSMUSG00000001248
ENSMUSP00000001284	ENSMUSG00000026641
ENSMUSP00000001304	ENSMUSG00000001270
ENSMUSP00000001319	ENSMUSG00000001300
ENSMUSP00000001326	ENSMUSG00000001280
ENSMUSP00000001327	ENSMUSG00000001281
