gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000215790	0.0356420130000039	6.4782115575	-6.24599489198466	0.75939414753864	0.999266247918946	SLC35E2	-5.45436151942218	hsa	FALSE	FALSE
ENSG00000117408	-0.182899774666661	7.03026364031482	-5.75358179477408	0.299639801003769	0.991000769111611	IPO13	-4.67577591228317	hsa	FALSE	FALSE
ENSG00000196526	0.169003895000004	6.35064264766667	-4.15830108438022	0.0389402156504322	0.704161580474846	AFAP1	-2.96733678658038	hsa	FALSE	FALSE
ENSG00000167513	-0.326434008999998	7.84480012287037	-5.628717814902	0.249705985469639	0.978978834947803	CDT1	-4.52314909478105	hsa	FALSE	FALSE
ENSG00000122574	-0.155755368333328	6.19441553274074	-4.99449515845462	0.107447259137803	0.914191330391882	WIPF3	-3.81711544570807	hsa	FALSE	FALSE
ENSG00000145012	-0.328956076333327	8.47557954481482	-5.20788759263719	0.141175796415394	0.935143333536954	LPP	-4.04568761902124	hsa	FALSE	FALSE
ENSG00000169764	-0.0772452579999969	6.23935566090741	-6.05506088993901	0.490938571161145	0.999266247918946	UGP2	-5.08915451738954	hsa	FALSE	FALSE
ENSG00000175305	-0.0110680399999925	6.10976685831481	-6.28620197442778	0.906952598164224	0.999266247918946	CCNE2	-5.60303012267896	hsa	FALSE	FALSE
ENSG00000165714	-0.0352050729999949	6.33289287440741	-6.18602451647211	0.644151680876145	0.999266247918946	LOH12CR1	-5.31656244992167	hsa	FALSE	FALSE
ENSG00000163877	-0.0654802289999967	7.96787727416667	-6.22169159669766	0.706053228619595	0.999266247918946	SNIP1	-5.39338485254687	hsa	FALSE	FALSE
ENSG00000161940	0.0800655913333364	6.10195972487037	-6.08872273480955	0.523318827487949	0.999266247918946	BCL6B	-5.14263080086162	hsa	FALSE	FALSE
ENSG00000127249	-0.0346898066666608	6.01353693412963	-6.2372664602546	0.73877733680827	0.999266247918946	ATP13A4	-5.43131693492952	hsa	FALSE	FALSE
