intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 76288.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 1.17 sec. (404.49 ticks)
Lazy DEBUG Label, root: ENSMUSP00000099793   y value: 1
Lazy DEBUG Label, root: ENSP00000329040   y value: 1

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0     1326.5569    13                   1340.5844      452         
*     0+    0                         1257.6769     1326.5569      452    5.48%
Lazy DEBUG Label, root: ENSP00000329040   y value: 1
      0     0     1324.7238    62     1294.9371 UserPurge1: 206     1109    2.30%
      0     0     1324.7226    56     1294.9371 UserPurge1: 207     1119    2.30%
      0     0     1324.7195    63     1294.9371 UserPurge1: 203     1132    2.30%
      0     0     1324.7170    69     1294.9371 UserPurge1: 205     1145    2.30%
      0     0     1324.7154    54     1294.9371 UserPurge1: 210     1160    2.30%
      0     0     1324.7144    68     1294.9371 UserPurge1: 199     1173    2.30%
      0     0     1324.7120    66     1294.9371 UserPurge1: 209     1195    2.30%
      0     0     1324.7028    54     1294.9371 UserPurge1: 208     1212    2.30%
      0     0     1324.7002    61     1294.9371 UserPurge1: 199     1220    2.30%
      0     0     1324.6963    67     1294.9371 UserPurge1: 205     1239    2.30%
      0     0     1324.6932    70     1294.9371 UserPurge1: 208     1251    2.30%
      0     0     1324.6891    70     1294.9371 UserPurge1: 211     1274    2.30%
      0     0     1324.6883    68     1294.9371 UserPurge1: 211     1281    2.30%
      0     0     1324.6860    74     1294.9371 UserPurge1: 210     1310    2.30%
      0     0     1324.6843    65     1294.9371 UserPurge1: 214     1329    2.30%
      0     0     1324.6826    74     1294.9371 UserPurge1: 210     1357    2.30%
      0     0     1324.6773    68     1294.9371 UserPurge1: 214     1386    2.30%
      0     0     1324.6713    68     1294.9371 UserPurge1: 209     1406    2.30%
      0     0     1324.6659    64     1294.9371 UserPurge1: 210     1430    2.30%
      0     0     1324.6623    71     1294.9371 UserPurge1: 211     1462    2.30%
      0     0     1324.6583    60     1294.9371 UserPurge1: 210     1475    2.30%
      0     0     1324.6572    69     1294.9371 UserPurge1: 205     1484    2.30%
      0     0     1324.6553    71     1294.9371 UserPurge1: 211     1495    2.29%
      0     0     1324.6528    70     1294.9371 UserPurge1: 212     1518    2.29%
      0     0     1324.6459    65     1294.9371 UserPurge1: 213     1557    2.29%
      0     0     1324.6427    70     1294.9371 UserPurge1: 210     1575    2.29%
