Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 27519.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.42 sec. (124.45 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      313.3066    83      309.6567 UserPurge1: 137     1038    1.18%
      0     0      313.3004    87      309.6567 UserPurge1: 137     1061    1.18%
      0     0      313.2974    88      309.6567 UserPurge1: 139     1072    1.18%
      0     0      313.2903    89      309.6567 UserPurge1: 141     1087    1.17%
      0     0      313.2873    57      309.6567 UserPurge1: 139     1104    1.17%
      0     0      313.2847    86      309.6567 UserPurge1: 114     1116    1.17%
      0     0      313.2833    78      309.6567 UserPurge1: 140     1127    1.17%
      0     0      313.2796    91      309.6567 UserPurge1: 143     1150    1.17%
      0     0      313.2788    86      309.6567 UserPurge1: 144     1163    1.17%
      0     0      313.2783    85      309.6567 UserPurge1: 135     1174    1.17%
      0     0      313.2776    92      309.6567 UserPurge1: 142     1192    1.17%
      0     0      313.2763    87      309.6567 UserPurge1: 144     1213    1.17%
      0     0      313.2705    87      309.6567 UserPurge1: 148     1237    1.17%
      0     0      313.2668    87      309.6567 UserPurge1: 143     1254    1.17%
      0     0      313.2635    90      309.6567 UserPurge1: 144     1270    1.16%
      0     0      313.2601    48      309.6567 UserPurge1: 145     1294    1.16%
      0     0      313.2531    90      309.6567 UserPurge1: 157     1311    1.16%
      0     0      313.2464    95      309.6567 UserPurge1: 145     1333    1.16%
      0     0      313.2351    92      309.6567 UserPurge1: 148     1349    1.16%
      0     0      313.2236    85      309.6567 UserPurge1: 143     1367    1.15%
      0     0      313.2147    95      309.6567 UserPurge1: 143     1390    1.15%
      0     0      313.2136    78      309.6567 UserPurge1: 139     1397    1.15%
      0     0      313.2095    94      309.6567 UserPurge1: 138     1411    1.15%
      0     0      313.2029    80      309.6567 UserPurge1: 136     1425    1.15%
      0     0      313.2022    92      309.6567 UserPurge1: 142     1439    1.14%
      0     0      313.2000   100      309.6567 UserPurge1: 145     1463    1.14%
      0     0      313.1988    99      309.6567 UserPurge1: 143     1483    1.14%
      0     0      313.1970   101      309.6567 UserPurge1: 148     1497    1.14%
      0     0      313.1921    95      309.6567 UserPurge1: 146     1517    1.14%
      0     0      313.1820    96      309.6567 UserPurge1: 148     1539    1.14%
      0     0      313.1750   102      309.6567 UserPurge1: 145     1566    1.14%
      0     0      313.1696   102      309.6567 UserPurge1: 150     1590    1.13%
