Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 63038.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.53 sec. (3011.74 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      304.3949   147      288.6830 UserPurge1: 149    16260    5.44%
      0     0      304.3837   159      288.6830 UserPurge1: 152    16301    5.44%
      0     0      304.3659   110      288.6830 UserPurge1: 152    16351    5.43%
      0     0      304.3592   151      288.6830 UserPurge1: 145    16370    5.43%
      0     0      304.3385   133      288.6830 UserPurge1: 150    16417    5.42%
      0     0      304.3252   138      288.6830 UserPurge1: 146    16450    5.42%
      0     0      304.3188   170      288.6830 UserPurge1: 146    16500    5.42%
      0     0      304.3089   168      288.6830 UserPurge1: 153    16535    5.41%
      0     0      304.2976   162      288.6830 UserPurge1: 151    16570    5.41%
      0     0      304.2835   127      288.6830 UserPurge1: 152    16619    5.40%
      0     0      304.2704   141      288.6830 UserPurge1: 149    16645    5.40%
      0     0      304.2583   114      288.6830 UserPurge1: 148    16668    5.40%
      0     0      304.2512   138      288.6830 UserPurge1: 148    16689    5.39%
      0     0      304.2402   144      288.6830 UserPurge1: 146    16734    5.39%
      0     0      304.2325   149      288.6830 UserPurge1: 151    16769    5.39%
      0     0      304.2243   132      288.6830 UserPurge1: 156    16801    5.38%
      0     0      304.2107   173      288.6830 UserPurge1: 147    16839    5.38%
      0     0      304.2027   137      288.6830 UserPurge1: 153    16882    5.38%
      0     0      304.1969   163      288.6830 UserPurge1: 147    16924    5.37%
      0     0      304.1870   152      288.6830 UserPurge1: 150    16956    5.37%
      0     0      304.1771   171      288.6830 UserPurge1: 147    17015    5.37%
      0     0      304.1688   142      288.6830 UserPurge1: 154    17047    5.36%
