gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000111640	0.0208082043333331	11.502266921216	-6.24421325579775	0.869082211969789	0.999953491563075	GAPDH	-6.49042309281268	hsa	FALSE	FALSE
ENSG00000215790	-0.0954016193333338	6.4782115575	-5.93323788281441	0.429177904509092	0.999953491563075	SLC35E2	-5.98545106832216	hsa	FALSE	FALSE
ENSG00000233927	-0.00629294583333362	11.781846562287	-6.23917124846517	0.686332271074607	0.999953491563075	RPS28	-6.32146417285817	hsa	FALSE	FALSE
ENSG00000117408	-0.0819142046666688	7.03026364031482	-6.13033336894751	0.631422279957276	0.999953491563075	IPO13	-6.26178429210804	hsa	FALSE	FALSE
ENSG00000167513	0.0328963646666676	7.84480012287037	-6.23788633391683	0.903491677080028	0.999953491563075	CDT1	-6.51821303755283	hsa	FALSE	FALSE
ENSG00000145012	-0.0299439179999981	7.77214907059259	-6.24392637640938	0.649988458206685	0.999953491563075	LPP	-6.28252502496664	hsa	FALSE	FALSE
ENSG00000169764	0.00172005200000025	7.49480764871759	-6.19669321859685	0.422840731288366	0.999953491563075	FLJ36848	-5.97480439223274	hsa	FALSE	FALSE
ENSG00000197451	0.0824740800000043	11.1863742028642	-6.23678582961226	0.459447587832361	0.999953491563075	HNRNPAB	-6.03422825143477	hsa	FALSE	FALSE
ENSG00000163877	-0.0537836209999982	7.96787727416667	-6.18800859658601	0.734961647315774	0.999953491563075	SNIP1	-6.37045828654155	hsa	FALSE	FALSE
ENSG00000065618	-0.153187047833332	6.17817372315741	-6.23817905235123	0.0642860760485123	0.694438301243384	COL17A1	-4.62667882611356	hsa	FALSE	FALSE
ENSG00000161940	0.082447248666667	6.10195972487037	-6.03716084341353	0.518536504307587	0.999953491563075	BCL6B	-6.12081732262147	hsa	FALSE	FALSE
ENSG00000064961	-0.205922941999996	8.9337204275	-5.81278114025137	0.351933134058676	0.999953491563075	HMG20B	-5.84343495912469	hsa	FALSE	FALSE
ENSG00000110848	-0.306174404000001	9.78350306184259	-6.02466528796279	0.292297111782828	0.98811304844355	CD69	-5.71055109736098	hsa	FALSE	FALSE
ENSG00000103150	0.0181917923333383	6.67906308225926	-6.23702202439688	0.897997427674931	0.999953491563075	MLYCD	-6.51384750104153	hsa	FALSE	FALSE
ENSG00000111647	0.0390766324444449	6.77966990212346	-6.24397749486443	0.555196548009303	0.999953491563075	UHRF1BP1L	-6.16970788634399	hsa	FALSE	FALSE
ENSG00000217950	0.0239961629999978	6.69027693674074	-6.22932468059783	0.858357610027076	0.999953491563075	LOC401010	-6.48153633421566	hsa	FALSE	FALSE
ENSG00000179833	-0.516853895000001	10.0356412361667	-3.7265383717432	0.0245239812475242	0.510874885304437	SERTAD2	-3.9369670768218	hsa	FALSE	FALSE
ENSG00000118785	0.0762343263333358	6.6108929587037	-6.23143555025491	0.863881795995253	0.999953491563075	SPP1	-6.48612763564563	hsa	FALSE	FALSE
ENSG00000177494	1.15654980666667	8.68232984959259	0.524800002648225	0.000219324437691204	0.0254798127408367	ZBED2	-0.561125580790356	hsa	FALSE	TRUE
ENSG00000115307	0.251584124666667	7.48361854892593	-5.28850468916248	0.166084804028066	0.909311600949114	AUP1	-5.30598710121676	hsa	FALSE	FALSE
ENSG00000116688	-0.161899280666663	8.61006342975926	-5.8642848657302	0.382316331328508	0.999953491563075	MFN2	-5.90269984433776	hsa	FALSE	FALSE
ENSG00000028310	-0.201617662333328	10.6721504884444	-5.7271721295817	0.308265511706532	0.993868949051192	BRD9	-5.74861953261399	hsa	FALSE	FALSE
ENSG00000099958	0.241881803333333	6.21227311501852	-4.17844398949621	0.0416864472180573	0.607647353292799	DERL3	-4.31666225546335	hsa	FALSE	FALSE
ENSG00000198832	0.149455250333334	6.38170719398148	-5.59460727344702	0.253502344683171	0.972909553599632	SELM	-5.60863739366929	hsa	FALSE	FALSE
ENSG00000156136	0.0451972260000026	7.67889909769444	-6.01010447721436	0.45643985194934	0.999953491563075	DCK	-6.02952759291037	hsa	FALSE	FALSE
ENSG00000179588	-0.150989561666663	8.4908664455	-6.03771687345493	0.519095957046175	0.999953491563075	ZFPM1	-6.12158907760886	hsa	FALSE	FALSE
ENSG00000095596	-0.0805758360000031	6.31814191477778	-6.04053418293655	0.521947011804611	0.999953491563075	CYP26A1	-6.12550918114356	hsa	FALSE	FALSE
ENSG00000158373	-0.0737833604999998	7.11379513781482	-6.22408834986508	0.693007262428079	0.999953491563075	HIST1H2BD	-6.32839112938809	hsa	FALSE	FALSE
ENSG00000130222	0.389744917666668	7.20744565875926	-4.88149525753762	0.0981735199708258	0.79807532385285	GADD45G	-4.92970050630585	hsa	FALSE	FALSE
ENSG00000125386	-0.0213417290000013	7.44051311222222	-6.23247846256777	0.873045624475683	0.999953491563075	C4orf8	-6.49367958134279	hsa	FALSE	FALSE
ENSG00000137574	0.111525340000004	7.47394432764815	-6.06479775178094	0.547712777576811	0.999953491563075	NCOA6IP	-6.15999503231713	hsa	FALSE	FALSE
ENSG00000121350	-0.182617004333332	7.09153554974074	-5.3080081734352	0.170470889407174	0.910996466510603	LOC642732	-5.32464248880924	hsa	FALSE	FALSE
ENSG00000039123	0.308747204666664	7.77514385146296	-5.38723211692925	0.189712793490951	0.927541129673374	SKIV2L2	-5.40118403382675	hsa	FALSE	FALSE
ENSG00000147099	0.065359381000003	6.42339346044444	-6.08376554699077	0.569554222160912	0.999953491563075	HDAC8	-6.18798093173559	hsa	FALSE	FALSE
ENSG00000178202	0.0301854603333362	6.72517732294444	-6.22170562430882	0.828170542232359	0.999953491563075	KDELC2	-6.45591313999675	hsa	FALSE	FALSE
ENSG00000165272	0.157399895000005	6.02239942681481	-5.56843419860369	0.244164736403414	0.969152059001787	AQP3	-5.5817773165283	hsa	FALSE	FALSE
ENSG00000164056	-1.00500495633333	9.59602508784568	-4.86313987471676	0.0411793766035923	0.606621518860937	LOC730525	-4.30790318621261	hsa	FALSE	FALSE
ENSG00000138190	-0.160684378666661	7.38782628912963	-5.79597580842467	0.342738406165869	0.999953491563075	EXOC6	-5.82448779196222	hsa	FALSE	FALSE
ENSG00000213420	0.022169640333332	6.95693494914815	-6.24060172044409	0.923324468289674	0.999953491563075	GPC2	-6.53375355983084	hsa	FALSE	FALSE
ENSG00000156508	-0.00803730216666643	9.80354025888889	-6.16778060656308	0.386129497808676	0.999953491563075	LOC649150	-5.90980274305398	hsa	FALSE	FALSE
ENSG00000100578	0.222858075666666	6.88132733092593	-5.56329805686933	0.242381954399374	0.968789155557937	KIAA0586	-5.57653244070471	hsa	FALSE	FALSE
ENSG00000072786	-0.295205605	7.94543916840741	-5.27562758438169	0.163259620324253	0.905548895071191	STK10	-5.29370800002647	hsa	FALSE	FALSE
ENSG00000121691	0.024795160500001	7.38192190685185	-6.24522683082245	0.670755455937617	0.999953491563075	CAT	-6.30503372639401	hsa	FALSE	FALSE
ENSG00000140943	0.0283042730000003	8.70885910387963	-6.21300582715129	0.371557218203435	0.999953491563075	MBTPS1	-5.8822699083855	hsa	FALSE	FALSE
ENSG00000152291	-0.153673762999999	9.79743467822222	-5.60925533077809	0.258919647995035	0.97523093691853	TGOLN2	-5.62377060580932	hsa	FALSE	FALSE
ENSG00000196588	-0.0963509503333304	7.81155595174074	-6.07090969026911	0.554574675867032	0.999953491563075	MKL1	-6.1689057887074	hsa	FALSE	FALSE
ENSG00000039319	-0.0210429841666651	6.74993988266667	-6.06899914351503	0.32875669706558	0.999953491563075	ZFYVE16	-5.79467931859249	hsa	FALSE	FALSE
ENSG00000135723	0.307202308333334	8.42858924564815	-5.68817023900303	0.290719134289534	0.98811304844355	FHOD1	-5.70667690878106	hsa	FALSE	FALSE
ENSG00000204410	-0.0721753859999978	6.41783123324074	-6.07458533777993	0.558779886339929	0.999953491563075	MSH5	-6.17431228435682	hsa	FALSE	FALSE
ENSG00000173327	-0.231223377999997	7.97653507524074	-5.59283577089368	0.252856683357774	0.971818726432438	MAP3K11	-5.60681221241595	hsa	FALSE	FALSE
ENSG00000134294	-0.0750656029999979	8.45252119716667	-6.19261270296297	0.745463812027937	0.999953491563075	SLC38A2	-6.3806127998691	hsa	FALSE	FALSE
ENSG00000168765	0.173826156000003	6.17559616188889	-5.38605705414983	0.18940958998328	0.926860382971025	GSTM4	-5.40003927385276	hsa	FALSE	FALSE
ENSG00000178234	0.169055390666667	8.08339955711111	-5.6688807709582	0.282512403577005	0.985487340704116	GALNT11	-5.68618278619484	hsa	FALSE	FALSE
ENSG00000176788	2.58935727833334	8.89138227475926	0.0074313744492196	0.000384433297835639	0.0372154046028301	BASP1	-0.962788100637607	hsa	FALSE	TRUE
ENSG00000163468	0.00959760383333252	9.33861974236111	-6.24518706641857	0.923620211934857	0.999953491563075	CCT3	-6.53398276324679	hsa	FALSE	FALSE
ENSG00000110047	-0.136016603333331	10.4528442444444	-6.1345485592544	0.637753059733559	0.999953491563075	EHD1	-6.26892430065318	hsa	FALSE	FALSE
ENSG00000172602	-0.221884439666669	6.74999852512963	-5.19412263513089	0.146594344483224	0.888537041903753	RND1	-5.21664706195087	hsa	FALSE	FALSE
ENSG00000105193	0.0317114166666617	13.8242403125926	-6.21822184721376	0.816097024724264	0.999953491563075	RPS16	-6.44540251165701	hsa	FALSE	FALSE
ENSG00000120942	-0.0205932896666656	7.80744968318518	-6.23486528043655	0.885454643982169	0.999953491563075	UBIAD1	-6.5037805212042	hsa	FALSE	FALSE
ENSG00000095485	0.00725776666666533	10.5362615358704	-6.24418701450573	0.963599753995402	0.999953491563075	CWF19L1	-6.56431048736586	hsa	FALSE	FALSE
ENSG00000108298	0.0596742979999982	11.6170277719352	-6.24260515284184	0.442491929788951	0.999953491563075	LOC653314	-6.00731612895022	hsa	FALSE	FALSE
ENSG00000183955	0.133902299000002	7.35929298553704	-5.80924523135003	0.349970973046123	0.999953491563075	SETD8	-5.83943350780132	hsa	FALSE	FALSE
ENSG00000000457	-0.0234276669999991	6.86239026302778	-6.1963304585811	0.559703109896467	0.999953491563075	SCYL3	-6.17549379363947	hsa	FALSE	FALSE
ENSG00000169902	0.568921497999996	6.86449743944444	-4.37808368104681	0.0529193739928334	0.660336760427979	TPST1	-4.48742300508864	hsa	FALSE	FALSE
ENSG00000111341	-0.00232403766666822	6.60296313114815	-6.24370621560443	0.935368154531467	0.999953491563075	MGP	-6.54302863598646	hsa	FALSE	FALSE
ENSG00000114770	-0.0676386159999973	7.44943827461111	-6.18297541944745	0.199679295366804	0.931871374694307	ABCC5	-5.43782863847014	hsa	FALSE	FALSE
ENSG00000198937	0.00415999666666522	8.83166103340741	-6.24512785144046	0.988762305721935	0.999953491563075	C6orf129	-6.58275970346297	hsa	FALSE	FALSE
ENSG00000072501	-0.0284534186666656	7.51889240811111	-6.21924125305403	0.819540586115542	0.999953491563075	SMC1A	-6.44841607921216	hsa	FALSE	FALSE
ENSG00000128944	0.112638471000004	6.92299681884259	-6.2452204566319	0.116154136538781	0.836859046455106	C15orf23	-5.05006763388363	hsa	FALSE	FALSE
ENSG00000086717	0.117874427000002	6.26643915314815	-5.56940008223561	0.244501781688001	0.969152059001787	PPEF1	-5.58276458504799	hsa	FALSE	FALSE
ENSG00000151292	0.0872130584999993	7.36145744877778	-6.24369445956435	0.292400366848994	0.98811304844355	CSNK1G3	-5.71080387560996	hsa	FALSE	FALSE
ENSG00000145936	-0.0218802929999988	6.51532114153704	-6.23851318246095	0.907685035574356	0.999953491563075	KCNMB1	-6.52152710613081	hsa	FALSE	FALSE
ENSG00000186468	-0.0138540679999979	10.5688358578333	-6.22698273966746	0.723927944497361	0.999953491563075	LOC653658	-6.35963231987092	hsa	FALSE	FALSE
ENSG00000102034	0.317558941666667	8.28327754364815	-5.32509914860689	0.174423867291926	0.916261752014357	ELF4	-5.34104900452694	hsa	FALSE	FALSE
ENSG00000124383	-0.163818096666665	10.0513787614074	-5.63789504572807	0.269931613842533	0.977971092654505	MPHOSPH10	-5.65358003343646	hsa	FALSE	FALSE
ENSG00000205581	0.154720092111111	10.0710335204877	-6.09603734860068	0.143737459423267	0.885618633369037	HMGN1	-5.20256157967471	hsa	FALSE	FALSE
ENSG00000168216	0.204799332666669	8.5474303542963	-5.5804683907289	0.248404892524227	0.969378771891946	LMBRD1	-5.59409940983345	hsa	FALSE	FALSE
ENSG00000055950	-0.023879735583332	7.66638135973611	-6.24375677594353	0.346099052614705	0.999953491563075	MRPL43	-5.83147122645743	hsa	FALSE	FALSE
ENSG00000004975	0.126329761999999	7.72584482896296	-5.78586246375126	0.337360882422151	0.999953491563075	DVL2	-5.81316955934827	hsa	FALSE	FALSE
ENSG00000077238	-0.656454753666667	8.98760654462963	-2.40771315077565	0.00547333871028647	0.229782487640777	IL4R	-2.86359055537958	hsa	FALSE	FALSE
ENSG00000136280	-0.0485749172222215	8.13867693100617	-6.21119000823154	0.215598392166334	0.946160730635027	CCM2	-5.49272609670951	hsa	FALSE	FALSE
ENSG00000131143	0.0498675566666691	13.9810719705556	-6.1936022049735	0.747786644262918	0.999953491563075	COX4I1	-6.38283941464535	hsa	FALSE	FALSE
ENSG00000184076	0.0461319933333335	7.72276495559259	-6.24520673776375	0.428169443892555	0.999953491563075	LOC644310	-5.98376737929333	hsa	FALSE	FALSE
ENSG00000105875	-0.130078961666666	7.60386392288889	-5.96760307143655	0.455803289161377	0.999953491563075	WDR91	-6.02852876594327	hsa	FALSE	FALSE
ENSG00000213741	-0.236258523866666	11.6994051178778	-6.23809836498655	0.0656501473305496	0.698240563237088	LOC647361	-4.64170617361325	hsa	FALSE	FALSE
ENSG00000159231	0.255096338666665	7.53004778061111	-5.84333011400237	0.369531018647015	0.999953491563075	CBR3	-5.87835634000434	hsa	FALSE	FALSE
ENSG00000119383	0.0964298144166666	6.83104860619907	-6.24008972268354	0.170787300029457	0.910996466510603	PPP2R4	-5.32596966213789	hsa	FALSE	FALSE
ENSG00000156804	0.0134145631111104	7.30114169067284	-6.24440363991295	0.655103940252307	0.999953491563075	FBXO32	-6.28813559615321	hsa	FALSE	FALSE
ENSG00000183691	-0.170239325333331	6.93404209327778	-5.78464399211521	0.336720651917145	0.999953491563075	NOG	-5.81181004557531	hsa	FALSE	FALSE
ENSG00000168813	0.00721888733333209	6.89058347207407	-6.24453157643558	0.970231621311046	0.999953491563075	ZNF507	-6.56921932285131	hsa	FALSE	FALSE
ENSG00000165533	0.0995041033333335	6.31284376041667	-6.03112039321296	0.269144721012107	0.977971092654505	TTC8	-5.65149061617531	hsa	FALSE	FALSE
ENSG00000099999	0.0978409359999999	6.27732537944444	-5.91065614055107	0.412946110362892	0.999953491563075	RNF215	-5.9578577574497	hsa	FALSE	FALSE
ENSG00000141560	0.426615169000003	8.62660300098148	-4.897493848157	0.100169753362434	0.802148760065241	FN3KRP	-4.94410732373279	hsa	FALSE	FALSE
ENSG00000110435	-0.219487429999999	7.35488306933333	-5.52949109727138	0.231033306138227	0.960592321755111	PDHX	-5.54221264921079	hsa	FALSE	FALSE
ENSG00000164659	0.189100309666665	6.87891212405556	-5.26690452353491	0.161376957884543	0.903749696984193	KIAA1324L	-5.28540682782108	hsa	FALSE	FALSE
ENSG00000205339	-0.281995328333337	7.45603315255556	-5.26261487572351	0.160460219033151	0.903735493434237	IPO7	-5.28132955145316	hsa	FALSE	FALSE
ENSG00000172340	0.106783317666665	7.05014358433333	-6.0616485579418	0.544238684212364	0.999953491563075	SUCLG2	-6.15544096794237	hsa	FALSE	FALSE
ENSG00000104388	-0.0592540845000014	7.28796870736111	-6.18860195358158	0.655243652239844	0.999953491563075	RAB2A	-6.28828821448629	hsa	FALSE	FALSE
ENSG00000101040	0.0954661121111116	6.99243953922222	-6.23170396274567	0.224410813493583	0.954789315214327	ZMYND8	-5.5213976430067	hsa	FALSE	FALSE
ENSG00000042317	0.068971886666672	6.68204437790741	-6.12777044531979	0.627642553899381	0.999953491563075	SPATA7	-6.25748721562579	hsa	FALSE	FALSE
ENSG00000102893	0.110944919999998	7.11170474076543	-6.23469978903035	0.103307342971107	0.810308016350015	PHKB	-4.96618099545236	hsa	FALSE	FALSE
ENSG00000133742	-0.0641464793333313	6.90693968357407	-6.23795788831933	0.903960914782203	0.999953491563075	CA1	-6.51858464597011	hsa	FALSE	FALSE
ENSG00000163738	-0.165133678333334	7.36936610638889	-5.61054341006237	0.25940281790881	0.975769639845779	MTHFD2L	-5.62510492436222	hsa	FALSE	FALSE
ENSG00000184436	0.0542815690000031	8.06580718968518	-6.19777597532187	0.757864782512742	0.999953491563075	THAP7	-6.39242065877315	hsa	FALSE	FALSE
ENSG00000124784	-0.197288948499997	8.51829462533333	-5.99761274011012	0.445527549738158	0.999953491563075	RIOK1	-6.01220925209435	hsa	FALSE	FALSE
ENSG00000169188	0.197443119999999	8.80662848327778	-5.58142802418413	0.248746870357982	0.969378771891946	APEX2	-5.59508402969052	hsa	FALSE	FALSE
ENSG00000157617	-0.2429207285	6.8287285244537	-5.39595656476337	0.0638854008916343	0.693108386554928	C2CD2	-4.62220414604093	hsa	FALSE	FALSE
ENSG00000104643	-0.125263630333331	8.48480746983333	-5.7425566973379	0.315562696496446	0.996333562643444	MTMR9	-5.76536393658494	hsa	FALSE	FALSE
