Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      258.3568   100      224.0301 UserPurge1: 91    16595   15.32%
      0     0      258.3485    98      224.0301 UserPurge1: 92    16627   15.32%
      0     0      258.3395   119      224.0301 UserPurge1: 89    16656   15.31%
      0     0      258.3347   113      224.0301 UserPurge1: 96    16682   15.31%
      0     0      258.3305   101      224.0301 UserPurge1: 99    16697   15.31%
      0     0      258.3261    89      224.0301 UserPurge1: 98    16727   15.31%
      0     0      258.3173   104      224.0301 UserPurge1: 94    16776   15.30%
      0     0      258.3044   139      224.0301 UserPurge1: 100    16823   15.30%
      0     0      258.2898    91      224.0301 UserPurge1: 100    16886   15.29%
      0     0      258.2823   143      224.0301 UserPurge1: 97    16915   15.29%
      0     0      258.2739   141      224.0301 UserPurge1: 99    16931   15.29%
      0     0      258.2649   145      224.0301 UserPurge1: 103    16973   15.28%
      0     0      258.2568    82      224.0301 UserPurge1: 98    17006   15.28%
      0     0      258.2439    92      224.0301 UserPurge1: 96    17049   15.27%
      0     0      258.2388    71      224.0301 UserPurge1: 98    17070   15.27%
      0     0      258.2287   125      224.0301 UserPurge1: 98    17101   15.27%
      0     0      258.2188   133      224.0301 UserPurge1: 95    17147   15.26%
      0     0      258.2134   163      224.0301 UserPurge1: 98    17175   15.26%
      0     0      258.2081    91      224.0301 UserPurge1: 102    17201   15.26%
      0     0      258.2035   100      224.0301 UserPurge1: 95    17226   15.25%
      0     0      258.1928   149      224.0301 UserPurge1: 99    17266   15.25%
      0     0      258.1832   127      224.0301 UserPurge1: 101    17296   15.24%
      0     0      258.1746   125      224.0301 UserPurge1: 96    17327   15.24%
      0     0      258.1634    94      224.0301 UserPurge1: 98    17360   15.24%
      0     0      258.1592   135      224.0301 UserPurge1: 97    17399   15.23%
      0     0      258.1514   120      224.0301 UserPurge1: 107    17429   15.23%
      0     0      258.1419   166      224.0301 UserPurge1: 102    17485   15.23%
      0     0      258.1382   145      224.0301 UserPurge1: 105    17521   15.22%
      0     0      258.1330   156      224.0301 UserPurge1: 100    17548   15.22%
      0     0      258.1258   143      224.0301 UserPurge1: 106    17586   15.22%
      0     0      258.1220   128      224.0301 UserPurge1: 106    17626   15.22%
      0     0      258.1124   143      224.0301 UserPurge1: 102    17680   15.21%
      0     0      258.1101   133      224.0301 UserPurge1: 102    17699   15.21%
      0     0      258.1028   155      224.0301 UserPurge1: 107    17749   15.21%
      0     0      258.0952   134      224.0301 UserPurge1: 107    17798   15.21%
      0     0      258.0799   159      224.0301 UserPurge1: 103    17834   15.20%
      0     0      258.0587   116      224.0301 UserPurge1: 105    17892   15.19%
      0     2      258.0587   116      224.0301      258.0584    17892   15.19%                        0             0
Elapsed time = 433.02 sec. (160619.60 ticks, tree = 0.00 MB, solutions = 2)
      1     3      258.0522    99      224.0301      258.0582    17936   15.19%x_ENSP0000017175 U      1      0      1
      2     4      258.0490    76      224.0301      258.0582    17968   15.19%x_ENSMUSP0000002 U      2      1      2
      3     5      258.0446    71      224.0301      258.0582    18006   15.19%x_ENSP0000028124 D      3      2      3
      4     6      258.0380    71      224.0301      258.0582    18039   15.19%x_ENSP0000033879 D      4      3      4
      5     7      257.9440   107      224.0301      258.0582    18356   15.19%x_ENSP0000035999 N      5      4      5
      6     8      257.9414    75      224.0301      258.0582    18376   15.19%x_ENSP0000030984 D      6      5      6
      7     9      256.0694    12      224.0301      258.0582    18552   15.19%x_ENSP0000030984 U      7      5      6
      8    10      257.9400    72      224.0301      258.0582    18581   15.19%x_ENSP0000041068 D      8      6      7
      9    11      257.9370    69      224.0301      258.0582    18609   15.19%x_ENSP0000026232 D      9      8      8
