Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.86 sec. (3330.21 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      297.5438     7                    297.5438    14423         
*     0+    0                          228.4196      297.5438    14423   30.26%
      0     0      277.1987    77      228.4196 UserPurge1: 78    14657   21.36%
*     0+    0                          250.4956      272.0725    14664    8.61%
      0     0      271.8820    27      250.4956   ZeroHalf: 2    14665    8.54%
*     0+    0                          259.0818      271.8820    14665    4.94%
      0     0      270.6764    27      259.0818 UserPurge1: 66    14679    4.48%
      0     0      270.6409    38      259.0818 UserPurge1: 61    14686    4.46%
      0     0      270.4835    27      259.0818 UserPurge1: 65    14698    4.40%
      0     0      270.4588    27      259.0818 UserPurge1: 62    14707    4.39%
      0     0      270.4268    31      259.0818 UserPurge1: 62    14712    4.38%
      0     0      270.4118    38      259.0818 UserPurge1: 64    14719    4.37%
      0     0      270.3622    38      259.0818 UserPurge1: 67    14733    4.35%
      0     0      270.3476    46      259.0818 UserPurge1: 65    14740    4.35%
      0     0      270.3355    37      259.0818 UserPurge1: 69    14743    4.34%
      0     0      270.2236    27      259.0818 UserPurge1: 65    14760    4.30%
      0     0      270.2218    34      259.0818 UserPurge1: 61    14761    4.30%
      0     0      270.2200    44      259.0818 UserPurge1: 65    14763    4.30%
      0     0      270.1848    38      259.0818 UserPurge1: 70    14768    4.29%
      0     0      270.1772    27      259.0818 UserPurge1: 66    14771    4.28%
      0     0      270.1760    27      259.0818 UserPurge1: 63    14772    4.28%
      0     0      270.1759    44      259.0818 UserPurge1: 63    14773    4.28%
      0     0      270.1715    27      259.0818 UserPurge1: 70    14775    4.28%
      0     0      270.1705    46      259.0818 UserPurge1: 64    14780    4.28%
      0     0      270.1571    53      259.0818 UserPurge1: 70    14791    4.27%
      0     0      270.1549    27      259.0818 UserPurge1: 72    14798    4.27%
      0     0      270.1522    55      259.0818 UserPurge1: 62    14799    4.27%
      0     0      270.1424    33      259.0818 UserPurge1: 75    14803    4.27%
      0     0      270.1356    51      259.0818 UserPurge1: 66    14808    4.27%
      0     0      270.1064    58      259.0818 UserPurge1: 74    14817    4.26%
      0     0      270.0873    27      259.0818 UserPurge1: 75    14827    4.25%
      0     0      270.0854    32      259.0818 UserPurge1: 63    14831    4.25%
      0     0      270.0762    38      259.0818 UserPurge1: 65    14836    4.24%
      0     0      270.0693    48      259.0818 UserPurge1: 67    14840    4.24%
      0     0      270.0375    27      259.0818 UserPurge1: 72    14856    4.23%
      0     0      270.0346    44      259.0818 UserPurge1: 62    14859    4.23%
      0     0      270.0343    27      259.0818 UserPurge1: 73    14860    4.23%
      0     0      270.0262    61      259.0818 UserPurge1: 62    14869    4.22%
      0     0      269.9749    79      259.0818 UserPurge1: 79    14908    4.20%
      0     0      269.9502    27      259.0818 UserPurge1: 80    14918    4.19%
      0     0      269.9366    27      259.0818 UserPurge1: 61    14923    4.19%
      0     0      269.9193    27      259.0818 UserPurge1: 63    14935    4.18%
      0     0      269.9147    59      259.0818 UserPurge1: 61    14938    4.18%
      0     0      269.8806    27      259.0818 UserPurge1: 80    14945    4.17%
      0     0      269.8788    36      259.0818 UserPurge1: 61    14946    4.17%
      0     0      269.8687    50      259.0818 UserPurge1: 63    14954    4.16%
      0     0      269.8611    85      259.0818 UserPurge1: 74    14962    4.16%
      0     0      269.8452    27      259.0818 UserPurge1: 81    14971    4.15%
      0     0      269.8322    43      259.0818 UserPurge1: 61    14983    4.15%
      0     0      269.8308    56      259.0818 UserPurge1: 70    14985    4.15%
      0     0      269.8065    52      259.0818 UserPurge1: 76    14999    4.14%
      0     0      269.7787    56      259.0818 UserPurge1: 76    15017    4.13%
      0     0      269.7728    34      259.0818 UserPurge1: 79    15026    4.13%
      0     0      269.7696    56      259.0818 UserPurge1: 67    15036    4.13%
      0     0      269.7678    52      259.0818 UserPurge1: 78    15045    4.12%
      0     0      269.7627    67      259.0818 UserPurge1: 75    15057    4.12%
      0     0      269.7616    68      259.0818 UserPurge1: 85    15068    4.12%
      0     0      269.7576    50      259.0818 UserPurge1: 87    15082    4.12%
      0     0      269.7508    52      259.0818 UserPurge1: 76    15111    4.12%
      0     0      269.7465    53      259.0818 UserPurge1: 78    15127    4.12%
      0     0      269.7444    62      259.0818 UserPurge1: 74    15147    4.12%
      0     0      269.7396    58      259.0818 UserPurge1: 82    15161    4.11%
      0     0      269.7337    65      259.0818 UserPurge1: 80    15186    4.11%
      0     0      269.7043    32      259.0818 UserPurge1: 82    15213    4.10%
      0     0      269.6979    78      259.0818 UserPurge1: 63    15234    4.10%
      0     0      269.6886    46      259.0818 UserPurge1: 78    15242    4.09%
      0     0      269.6835    72      259.0818 UserPurge1: 68    15254    4.09%
      0     0      269.6752    56      259.0818 UserPurge1: 76    15265    4.09%
      0     0      269.6704    64      259.0818 UserPurge1: 79    15277    4.09%
      0     0      269.6645    80      259.0818 UserPurge1: 80    15291    4.08%
      0     0      269.6485    82      259.0818 UserPurge1: 80    15313    4.08%
      0     0      269.6421    70      259.0818 UserPurge1: 83    15325    4.08%
      0     0      269.6366    77      259.0818 UserPurge1: 78    15349    4.07%
      0     0      269.6231    51      259.0818 UserPurge1: 91    15370    4.07%
      0     0      269.6205    27      259.0818 UserPurge1: 73    15374    4.07%
      0     0      269.6198    75      259.0818 UserPurge1: 61    15382    4.07%
      0     0      269.6104    71      259.0818 UserPurge1: 89    15404    4.06%
      0     0      269.6063    95      259.0818 UserPurge1: 81    15421    4.06%
      0     0      269.6024    73      259.0818 UserPurge1: 91    15434    4.06%
      0     0      269.5955    88      259.0818 UserPurge1: 81    15465    4.06%
      0     0      269.5892    92      259.0818 UserPurge1: 88    15489    4.06%
      0     0      269.5764    86      259.0818 UserPurge1: 92    15513    4.05%
      0     0      269.5474    66      259.0818 UserPurge1: 84    15539    4.04%
