gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000305	-0.278552470929095	2.99299424619316	-4.9978827558384	0.0767178341652068	0.503300980876373	Cdh4	-1.93885486743661	mus	-2.99801279487078	FALSE	FALSE	FALSE
ENSMUSG00000000308	-0.00702711998004579	3.61278843069221	-6.64519938529067	0.957845617819277	0.990410376250824	Ckmt1	-3.76777039355366	mus	-3.99642757505701	FALSE	FALSE	FALSE
ENSMUSG00000000317	0.0627523389464457	4.22319315944538	-6.57253864597585	0.707631283098134	0.934612916109783	Bcl6b	-3.54843299399038	mus	-3.87264313308797	FALSE	FALSE	FALSE
ENSMUSG00000000318	-0.0690845055123002	4.02959263255806	-6.57152326077004	0.705728439173108	0.933689435612992	Clec10a	-3.54648229629776	mus	-3.87200140557031	FALSE	FALSE	FALSE
ENSMUSG00000000320	-0.211002203294257	3.22431493885643	-5.76881066560893	0.196678944421305	0.69041868325857	Alox12	-2.62088128731295	mus	-3.34954210366557	FALSE	FALSE	FALSE
ENSMUSG00000000325	-0.239451481778639	4.00131945843055	-5.45191877377242	0.131960975065599	0.618460789095959	Arvcf	-2.33177704688386	mus	-3.19020029587686	FALSE	FALSE	FALSE
ENSMUSG00000000326	-0.0215031618795702	7.96577099649585	-6.63015032085287	0.859472424947927	0.972109836764465	Comt1	-3.68926313657656	mus	-3.95088064926209	FALSE	FALSE	FALSE
ENSMUSG00000000339	0.000629248393304138	9.28036846853006	-6.64665710933547	0.995754041445243	0.998319184967417	Rtcd1	-3.79588900834064	mus	-4.01166369162831	FALSE	FALSE	FALSE
ENSMUSG00000000340	-0.172432655734987	7.89079277125099	-5.83119411618222	0.213383871110367	0.709598438727757	Dbt	-2.67993862317242	mus	-3.3845543210345	FALSE	FALSE	FALSE
ENSMUSG00000000346	-0.030727108437004	11.6358037294512	-6.56671424623587	0.696910357647675	0.931670059600196	Dazap2	-3.53737324317922	mus	-3.86629856153371	FALSE	FALSE	FALSE
ENSMUSG00000000355	-0.0657760419715583	10.890629607461	-6.32610983719563	0.435409930751966	0.848304275274009	Mcts1	-3.1966138838818	mus	-3.67282402071158	FALSE	FALSE	FALSE
ENSMUSG00000000359	-0.0364742127781081	3.65326807381551	-6.61826021020874	0.816404348831107	0.960565147478459	Rem1	-3.65201982633454	mus	-3.93210830739233	FALSE	FALSE	FALSE
ENSMUSG00000000365	-0.131559833784563	3.10834780673103	-6.20515622275539	0.359973127466943	0.812558798859224	Rnf17	-3.05878079386434	mus	-3.59287348586315	FALSE	FALSE	FALSE
ENSMUSG00000000374	-0.0814855211989123	9.20830868917563	-6.33217146626344	0.439785278997486	0.850394939885725	Trappc10	-3.20385741886704	mus	-3.67624190594498	FALSE	FALSE	FALSE
ENSMUSG00000000378	-0.076095728238422	7.59249999913648	-6.34894594564914	0.452252728034559	0.854677513549734	Ccm2	-3.22410913232754	mus	-3.68719942340573	FALSE	FALSE	FALSE
ENSMUSG00000000381	-0.258441376389986	3.92368944977365	-5.76967546499271	0.196899771763203	0.690776935886469	Wap	-2.62169423113721	mus	-3.35003927317809	FALSE	FALSE	FALSE
ENSMUSG00000000384	0.0216977231782254	6.62057946044371	-6.63807172723732	0.898357869582095	0.979564114648148	LOC100046166 /// Tbrg4	-3.7213199412268	mus	-3.96852724668575	FALSE	FALSE	FALSE
ENSMUSG00000000385	0.0696030107171857	4.0934986209349	-6.57018220181834	0.703237652953906	0.933025635500617	Tmprss2	-3.54392090685282	mus	-3.87028057667494	FALSE	FALSE	FALSE
ENSMUSG00000000386	0.183004565282298	3.42089259349999	-6.41700902175802	0.509153114325288	0.88094297455382	Mx1	-3.30996214976967	mus	-3.73246491419392	FALSE	FALSE	FALSE
ENSMUSG00000000392	0.629829606468894	4.52483817464572	-2.84296694672331	0.00711085903885035	0.152228921215737	Fap	-0.2157391454362	mus	-2.32140009653004	FALSE	FALSE	FALSE
ENSMUSG00000000394	-0.00504571816450738	2.96291744633043	-6.64520306915261	0.957898326847612	0.990410376250824	Gcg	-3.76781025809754	mus	-3.99644225877909	FALSE	FALSE	FALSE
