intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 117970.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 739.35 sec. (117052.81 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0       16.0948    21       14.3114 UserPurge1: 1    44676   12.46%
      0     0       16.0940    20       14.3114 UserPurge1: 1    44679   12.46%
      0     0       16.0927    22       14.3114 UserPurge1: 1    44683   12.45%
      0     0       16.0926    25       14.3114 UserPurge1: 1    44684   12.45%
      0     0       16.0914    17       14.3114 UserPurge1: 1    44690   12.44%
      0     0       16.0911    25       14.3114 UserPurge1: 1    44693   12.44%
      0     0       16.0906    17       14.3114 UserPurge1: 1    44695   12.43%
      0     0       16.0904    29       14.3114 UserPurge1: 1    44699   12.43%
      0     0       16.0901    24       14.3114 UserPurge1: 1    44704   12.43%
      0     0       16.0898    28       14.3114 UserPurge1: 1    44708   12.43%
      0     0       16.0896    26       14.3114 UserPurge1: 1    44713   12.42%
      0     0       16.0895    29       14.3114 UserPurge1: 1    44719   12.42%
      0     0       16.0894    31       14.3114 UserPurge1: 1    44723   12.42%
      0     0       16.0887    29       14.3114 UserPurge1: 1    44731   12.42%
      0     0       16.0882    29       14.3114 UserPurge1: 1    44734   12.42%
      0     0       16.0882    24       14.3114 UserPurge1: 1    44735   12.41%
      0     0       16.0881    32       14.3114 UserPurge1: 1    44737   12.41%
      0     0       16.0863    22       14.3114 UserPurge1: 1    44746   12.40%
      0     0       16.0858    33       14.3114 UserPurge1: 1    44749   12.40%
      0     0       16.0856    18       14.3114 UserPurge1: 1    44751   12.40%
      0     0       16.0852    26       14.3114 UserPurge1: 1    44757   12.39%
      0     0       16.0850    17       14.3114 UserPurge1: 1    44758   12.39%
      0     0       16.0850    17       14.3114 UserPurge1: 1    44759   12.39%
      0     0       16.0848    31       14.3114 UserPurge1: 1    44763   12.39%
      0     0       16.0844    36       14.3114 UserPurge1: 1    44772   12.39%
      0     0       16.0841    31       14.3114 UserPurge1: 1    44775   12.39%
      0     0       16.0831    36       14.3114 UserPurge1: 1    44782   12.38%
      0     0       16.0830    18       14.3114 UserPurge1: 1    44783   12.38%
      0     0       16.0827    38       14.3114 UserPurge1: 1    44785   12.38%
      0     0       16.0822    18       14.3114 UserPurge1: 1    44786   12.37%
      0     0       16.0813    19       14.3114 UserPurge1: 1    44791   12.37%
      0     0       16.0811    22       14.3114 UserPurge1: 1    44792   12.37%
      0     0       16.0809    17       14.3114 UserPurge1: 1    44796   12.36%
      0     0       16.0809    38       14.3114 UserPurge1: 1    44797   12.36%
      0     0       16.0797    22       14.3114 UserPurge1: 1    44803   12.36%
      0     0       16.0793    37       14.3114 UserPurge1: 1    44807   12.35%
      0     0       16.0787     9       14.3114 UserPurge1: 1    44812   12.35%
      0     0       16.0779    35       14.3114 UserPurge1: 1    44819   12.34%
      0     0       16.0769    37       14.3114 UserPurge1: 1    44824   12.34%
      0     0       16.0768    18       14.3114 UserPurge1: 1    44825   12.34%
      0     0       16.0764    36       14.3114 UserPurge1: 1    44837   12.33%
      0     0       16.0760    18       14.3114 UserPurge1: 1    44838   12.33%
      0     0       16.0753    37       14.3114 UserPurge1: 1    44843   12.32%
      0     0       16.0742    25       14.3114 UserPurge1: 1    44849   12.32%
      0     0       16.0738    39       14.3114 UserPurge1: 1    44855   12.31%
      0     0       16.0726    39       14.3114 UserPurge1: 1    44871   12.31%
      0     0       16.0721    33       14.3114 UserPurge1: 1    44876   12.30%
      0     0       16.0715    35       14.3114 UserPurge1: 1    44883   12.30%
      0     0       16.0713    38       14.3114 UserPurge1: 1    44887   12.30%
      0     0       16.0704    17       14.3114 UserPurge1: 1    44895   12.29%
      0     0       16.0703    37       14.3114 UserPurge1: 1    44898   12.29%
      0     0       16.0699    37       14.3114 UserPurge1: 1    44907   12.29%
      0     0       16.0696    40       14.3114 UserPurge1: 1    44921   12.29%
      0     0       16.0687    39       14.3114 UserPurge1: 1    44929   12.28%
      0     0       16.0682    39       14.3114 UserPurge1: 1    44935   12.28%
      0     0       16.0680    17       14.3114 UserPurge1: 1    44936   12.27%
      0     0       16.0676    38       14.3114 UserPurge1: 1    44947   12.27%
      0     0       16.0664    38       14.3114 UserPurge1: 1    44956   12.26%
      0     0       16.0661    40       14.3114 UserPurge1: 1    44967   12.26%
      0     0       16.0658    40       14.3114 UserPurge1: 1    44971   12.26%
      0     0       16.0646    34       14.3114 UserPurge1: 1    44985   12.25%
      0     0       16.0640     9       14.3114 UserPurge1: 1    44988   12.25%
      0     0       16.0629    40       14.3114 UserPurge1: 1    44994   12.24%
      0     0       16.0628    17       14.3114 UserPurge1: 1    44995   12.24%
      0     0       16.0626    20       14.3114 UserPurge1: 1    44998   12.24%
      0     0       16.0625    38       14.3114 UserPurge1: 1    45004   12.24%
      0     0       16.0624    41       14.3114 UserPurge1: 1    45005   12.24%
      0     0       16.0620    11       14.3114 UserPurge1: 1    45013   12.23%
      0     0       16.0611    32       14.3114 UserPurge1: 1    45020   12.23%
      0     0       16.0609    43       14.3114 UserPurge1: 1    45024   12.22%
      0     0       16.0579    33       14.3114 UserPurge1: 1    45040   12.20%
      0     0       16.0578    37       14.3114 UserPurge1: 1    45043   12.20%
      0     0       16.0570    35       14.3114 UserPurge1: 1    45052   12.20%
      0     0       16.0567    22       14.3114 UserPurge1: 1    45059   12.19%
      0     0       16.0567    31       14.3114 UserPurge1: 1    45060   12.19%
      0     0       16.0565    39       14.3114 UserPurge1: 1    45065   12.19%
      0     0       16.0561    37       14.3114 UserPurge1: 1    45070   12.19%
      0     0       16.0559    41       14.3114 UserPurge1: 1    45074   12.19%
      0     0       16.0556    41       14.3114 UserPurge1: 1    45081   12.19%
      0     0       16.0554    17       14.3114 UserPurge1: 1    45082   12.19%
      0     0       16.0550    31       14.3114 UserPurge1: 1    45089   12.18%
      0     0       16.0543    40       14.3114 UserPurge1: 1    45100   12.18%
      0     0       16.0540    34       14.3114 UserPurge1: 1    45107   12.18%
      0     0       16.0538    40       14.3114 UserPurge1: 1    45120   12.17%
      0     0       16.0532    40       14.3114 UserPurge1: 1    45134   12.17%
      0     0       16.0532    38       14.3114 UserPurge1: 1    45140   12.17%
      0     0       16.0531    17       14.3114 UserPurge1: 1    45141   12.17%
      0     0       16.0531    42       14.3114 UserPurge1: 1    45148   12.17%
      0     0       16.0527    37       14.3114 UserPurge1: 1    45163   12.17%
      0     0       16.0520    40       14.3114 UserPurge1: 1    45179   12.16%
      0     0       16.0518    39       14.3114 UserPurge1: 1    45186   12.16%
      0     0       16.0517    42       14.3114 UserPurge1: 1    45191   12.16%
      0     0       16.0516    43       14.3114 UserPurge1: 1    45201   12.16%
      0     0       16.0516    17       14.3114 UserPurge1: 1    45202   12.16%
      0     0       16.0515    43       14.3114 UserPurge1: 1    45209   12.16%
      0     0       16.0505    40       14.3114 UserPurge1: 1    45224   12.15%
      0     0       16.0499    35       14.3114 UserPurge1: 1    45232   12.15%
      0     0       16.0495    42       14.3114 UserPurge1: 1    45234   12.14%
      0     0       16.0490    40       14.3114 UserPurge1: 1    45245   12.14%
      0     0       16.0487    40       14.3114 UserPurge1: 1    45254   12.14%
      0     0       16.0486    42       14.3114 UserPurge1: 1    45260   12.14%
      0     0       16.0483    43       14.3114 UserPurge1: 1    45272   12.14%
      0     0       16.0480    17       14.3114 UserPurge1: 1    45280   12.13%
      0     0       16.0478    46       14.3114 UserPurge1: 1    45283   12.13%
      0     0       16.0459    18       14.3114 UserPurge1: 1    45295   12.12%
      0     0       16.0449    37       14.3114 UserPurge1: 1    45308   12.11%
      0     0       16.0440    41       14.3114 UserPurge1: 1    45323   12.11%
      0     0       16.0438    42       14.3114 UserPurge1: 1    45330   12.10%
      0     0       16.0435    45       14.3114 UserPurge1: 1    45335   12.10%
      0     0       16.0429    44       14.3114 UserPurge1: 1    45355   12.10%
      0     0       16.0420    41       14.3114 UserPurge1: 1    45367   12.09%
      0     0       16.0402    17       14.3114 UserPurge1: 1    45372   12.08%
      0     0       16.0399    41       14.3114 UserPurge1: 1    45378   12.08%
      0     0       16.0386    43       14.3114 UserPurge1: 1    45399   12.07%
      0     0       16.0380    44       14.3114 UserPurge1: 1    45417   12.06%
      0     0       16.0378    44       14.3114 UserPurge1: 1    45428   12.06%
      0     0       16.0376    42       14.3114 UserPurge1: 1    45439   12.06%
      0     0       16.0373    48       14.3114 UserPurge1: 1    45452   12.06%
      0     0       16.0369    45       14.3114 UserPurge1: 1    45472   12.06%
      0     0       16.0364    39       14.3114 UserPurge1: 1    45488   12.05%
      0     0       16.0362    44       14.3114 UserPurge1: 1    45498   12.05%
      0     0       16.0344    43       14.3114 UserPurge1: 1    45520   12.04%
      0     0       16.0335    36       14.3114 UserPurge1: 1    45531   12.03%
      0     0       16.0330    18       14.3114 UserPurge1: 1    45541   12.03%
      0     0       16.0329    42       14.3114 UserPurge1: 1    45548   12.03%
      0     0       16.0323    43       14.3114 UserPurge1: 1    45561   12.02%
      0     0       16.0319    39       14.3114 UserPurge1: 1    45575   12.02%
      0     0       16.0316    46       14.3114 UserPurge1: 1    45583   12.02%
      0     0       16.0311    17       14.3114 UserPurge1: 1    45584   12.02%
      0     0       16.0309    41       14.3114 UserPurge1: 1    45600   12.01%
      0     0       16.0302    46       14.3114 UserPurge1: 1    45623   12.01%
      0     0       16.0291    47       14.3114 UserPurge1: 1    45644   12.00%
      0     0       16.0288    18       14.3114 UserPurge1: 1    45648   12.00%
      0     0       16.0287    45       14.3114 UserPurge1: 1    45655   12.00%
      0     0       16.0279    43       14.3114 UserPurge1: 1    45670   11.99%
      0     0       16.0273    41       14.3114 UserPurge1: 1    45693   11.99%
      0     0       16.0271    39       14.3114 UserPurge1: 1    45703   11.99%
      0     0       16.0263    48       14.3114 UserPurge1: 1    45720   11.98%
      0     0       16.0261    48       14.3114 UserPurge1: 1    45734   11.98%
      0     0       16.0258    48       14.3114 UserPurge1: 1    45745   11.98%
      0     0       16.0255    49       14.3114 UserPurge1: 1    45754   11.98%
      0     0       16.0244    46       14.3114 UserPurge1: 1    45781   11.97%
      0     0       16.0241    17       14.3114 UserPurge1: 1    45783   11.97%
      0     0       16.0240    18       14.3114 UserPurge1: 1    45784   11.97%
      0     0       16.0238    44       14.3114 UserPurge1: 1    45797   11.97%
      0     0       16.0238    45       14.3114 UserPurge1: 1    45798   11.96%
      0     0       16.0236     9       14.3114 UserPurge1: 1    45799   11.96%
      0     0       16.0227    48       14.3114 UserPurge1: 1    45811   11.96%
      0     0       16.0217    47       14.3114 UserPurge1: 1    45836   11.95%
      0     0       16.0207    48       14.3114 UserPurge1: 1    45856   11.94%
      0     0       16.0196    45       14.3114 UserPurge1: 1    45874   11.94%
      0     0       16.0194    44       14.3114 UserPurge1: 1    45882   11.93%
      0     0       16.0192    47       14.3114 UserPurge1: 1    45891   11.93%
      0     0       16.0192    17       14.3114 UserPurge1: 1    45892   11.93%
      0     0       16.0191    47       14.3114 UserPurge1: 1    45903   11.93%
      0     0       16.0189    47       14.3114 UserPurge1: 1    45915   11.93%
      0     0       16.0188    47       14.3114 UserPurge1: 1    45921   11.93%
      0     0       16.0185    49       14.3114 UserPurge1: 1    45930   11.93%
      0     0       16.0183    49       14.3114 UserPurge1: 1    45949   11.93%
      0     0       16.0180    50       14.3114 UserPurge1: 1    45961   11.92%
      0     0       16.0177    48       14.3114 UserPurge1: 1    45988   11.92%
      0     0       16.0177    51       14.3114 UserPurge1: 1    45994   11.92%
      0     0       16.0172    49       14.3114 UserPurge1: 1    46022   11.92%
      0     0       16.0168    51       14.3114 UserPurge1: 1    46040   11.92%
      0     0       16.0167    49       14.3114 UserPurge1: 1    46047   11.92%
      0     0       16.0167    50       14.3114 UserPurge1: 1    46054   11.92%
      0     0       16.0164    46       14.3114 UserPurge1: 1    46070   11.91%
      0     0       16.0163     9       14.3114 UserPurge1: 1    46073   11.91%
      0     0       16.0159    48       14.3114 UserPurge1: 1    46090   11.91%
      0     0       16.0144    41       14.3114 UserPurge1: 1    46111   11.90%
      0     0       16.0138    49       14.3114 UserPurge1: 1    46124   11.90%
      0     0       16.0135    17       14.3114 UserPurge1: 1    46134   11.89%
      0     0       16.0135    51       14.3114 UserPurge1: 1    46146   11.89%
      0     0       16.0132    22       14.3114 UserPurge1: 1    46157   11.89%
      0     0       16.0132    57       14.3114 UserPurge1: 1    46161   11.89%
      0     0       16.0119    52       14.3114 UserPurge1: 1    46184   11.88%
      0     0       16.0112    18       14.3114 UserPurge1: 1    46194   11.88%
      0     0       16.0110    23       14.3114 UserPurge1: 1    46201   11.88%
      0     0       16.0107    17       14.3114 UserPurge1: 1    46208   11.87%
      0     0       16.0107    46       14.3114 UserPurge1: 1    46213   11.87%
      0     0       16.0106    23       14.3114 UserPurge1: 1    46215   11.87%
      0     0       16.0106    47       14.3114 UserPurge1: 1    46216   11.87%
      0     0       16.0104    14       14.3114 UserPurge1: 1    46219   11.87%
      0     0       16.0092    46       14.3114 UserPurge1: 1    46235   11.86%
      0     0       16.0084    46       14.3114 UserPurge1: 1    46251   11.86%
      0     0       16.0079    48       14.3114 UserPurge1: 1    46261   11.85%
      0     0       16.0069    23       14.3114 UserPurge1: 1    46278   11.85%
      0     0       16.0068    49       14.3114 UserPurge1: 1    46289   11.85%
      0     0       16.0062    17       14.3114 UserPurge1: 1    46299   11.84%
      0     0       16.0061    47       14.3114 UserPurge1: 1    46315   11.84%
      0     0       16.0051    48       14.3114 UserPurge1: 1    46338   11.83%
      0     0       16.0048    17       14.3114 UserPurge1: 1    46354   11.83%
      0     0       16.0048    51       14.3114 UserPurge1: 1    46357   11.83%
      0     0       16.0047    52       14.3114 UserPurge1: 1    46369   11.83%
      0     0       16.0042    49       14.3114 UserPurge1: 1    46388   11.83%
      0     0       16.0036    48       14.3114 UserPurge1: 1    46410   11.82%
      0     0       16.0029    47       14.3114 UserPurge1: 1    46435   11.82%
      0     0       16.0027    47       14.3114 UserPurge1: 1    46451   11.82%
      0     0       16.0024    49       14.3114 UserPurge1: 1    46458   11.82%
      0     0       16.0020    49       14.3114 UserPurge1: 1    46480   11.81%
      0     0       16.0016    50       14.3114 UserPurge1: 1    46501   11.81%
      0     0       16.0004    55       14.3114 UserPurge1: 1    46515   11.80%
      0     0       15.9999    54       14.3114 UserPurge1: 1    46533   11.80%
      0     0       15.9997    50       14.3114 UserPurge1: 1    46549   11.80%
      0     0       15.9994    54       14.3114 UserPurge1: 1    46567   11.79%
      0     0       15.9992    57       14.3114 UserPurge1: 1    46584   11.79%
      0     0       15.9988    49       14.3114 UserPurge1: 1    46609   11.79%
      0     0       15.9987    17       14.3114 UserPurge1: 1    46610   11.79%
      0     0       15.9985    49       14.3114 UserPurge1: 1    46629   11.79%
      0     0       15.9980    17       14.3114 UserPurge1: 1    46641   11.78%
      0     0       15.9980    56       14.3114 UserPurge1: 1    46646   11.78%
      0     0       15.9977    54       14.3114 UserPurge1: 1    46664   11.78%
      0     0       15.9976    55       14.3114 UserPurge1: 1    46672   11.78%
      0     0       15.9973    50       14.3114 UserPurge1: 1    46687   11.78%
      0     0       15.9969    54       14.3114 UserPurge1: 1    46709   11.78%
      0     0       15.9969    17       14.3114 UserPurge1: 1    46712   11.78%
      0     0       15.9968    55       14.3114 UserPurge1: 1    46744   11.78%
      0     0       15.9965    50       14.3114 UserPurge1: 1    46768   11.77%
      0     0       15.9964    52       14.3114 UserPurge1: 1    46785   11.77%
