gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000215790	-0.0689690343333291	6.4782115575	-6.1644937046076	0.554056645229387	0.954316715934456	SLC35E2	-4.02384729988915	hsa	FALSE	FALSE
ENSG00000117408	-0.0261362829999934	7.03026364031482	-6.32946466764263	0.881382814703758	0.993962411763852	IPO13	-4.36889354029488	hsa	FALSE	FALSE
ENSG00000196526	0.103090016000002	6.35064264766667	-5.5153680211999	0.200196474897645	0.792388957754699	AFAP1	-3.26721889179158	hsa	FALSE	FALSE
ENSG00000167513	-0.392801946333325	7.84480012287037	-5.3830359387689	0.167601218899047	0.756680435922789	CDT1	-3.13513041901292	hsa	FALSE	FALSE
ENSG00000122574	-0.0151875883333314	6.19441553274074	-6.32785586989711	0.87322084505852	0.993753660727078	WIPF3	-4.3619784519916	hsa	FALSE	FALSE
ENSG00000145012	-0.605553759333331	8.47557954481482	-2.87872664146754	0.00862223005537787	0.243861451581536	LPP	-0.929656763788022	hsa	FALSE	FALSE
ENSG00000169764	-0.396275961	6.23935566090741	-0.882082261013792	0.000961939281695999	0.0671433618623807	UGP2	0.700451839159277	hsa	TRUE	FALSE
ENSG00000175305	0.0266757306666756	6.10976685831481	-6.30076461342016	0.778258433959196	0.984853774469717	CCNE2	-4.27640548369259	hsa	FALSE	FALSE
ENSG00000165714	-0.0113065039999984	6.33289287440741	-6.32956814734326	0.8819277303838	0.993962411763852	LOH12CR1	-4.3693529277881	hsa	FALSE	FALSE
ENSG00000163877	0.103733877333336	7.96787727416667	-6.16150744846504	0.550716594532415	0.954125659093667	SNIP1	-4.01935302233994	hsa	FALSE	FALSE
ENSG00000161940	0.0247666736666705	6.10195972487037	-6.32096181067357	0.843131140639569	0.992090985326265	BCL6B	-4.33591483311444	hsa	FALSE	FALSE
ENSG00000127249	-0.0689518356666587	6.01353693412963	-6.12050837603369	0.508320094209632	0.948187999794306	ATP13A4	-3.95981014407061	hsa	FALSE	FALSE
ENSG00000064961	-0.240608336999999	8.9337204275	-5.75907263358842	0.282266070148004	0.861848052084454	HMG20B	-3.52257116065141	hsa	FALSE	FALSE
ENSG00000110848	-0.252389619666661	8.25126843864815	-6.12255072668219	0.510293980379144	0.94825996755363	CD69	-3.96269080159068	hsa	FALSE	FALSE
ENSG00000168418	-0.113925182666661	6.10747379607407	-5.43192286477332	0.178870715001299	0.772827677839859	KCNG4	-3.18349955367072	hsa	FALSE	FALSE
ENSG00000103150	-4.80853333266751e-05	6.67906308225926	-6.34067059853169	0.9997254812537	0.999784504622923	MLYCD	-4.46253758039762	hsa	FALSE	FALSE
ENSG00000217950	0.0232566000000052	6.69027693674074	-6.3248507005779	0.859277104409342	0.993670648139259	AC073869.20	-4.35001395078146	hsa	FALSE	FALSE
ENSG00000137809	-0.016142439666667	6.20238077598148	-6.32833864323042	0.875612061231333	0.993962411763852	ITGA11	-4.36401104041108	hsa	FALSE	FALSE
ENSG00000179833	-0.477046491333329	10.0356412361667	-4.48418868327519	0.0545917970122455	0.544838425977786	SERTAD2	-2.30139767314375	hsa	FALSE	FALSE
ENSG00000213931	0.162311496	6.26144655422222	-5.12037129270465	0.119251259540384	0.691333049527073	HBE1	-2.88215373381261	hsa	FALSE	FALSE
ENSG00000177494	0.763820153333338	8.68232984959259	-3.43276985686491	0.0160962226788205	0.333406305588066	ZBED2	-1.39363846909839	hsa	FALSE	FALSE
ENSG00000143258	-0.0405744766666656	6.22480984112963	-6.27479844684979	0.717511417351643	0.977532233364702	USP21	-4.21599980411067	hsa	FALSE	FALSE
ENSG00000187010	0.063238712000004	6.19239087494444	-6.05492059402388	0.451096245102951	0.938309283348224	RHD	-3.87104051599057	hsa	FALSE	FALSE
ENSG00000115307	0.166276415333338	7.48361854892593	-5.98017846789963	0.397300260791501	0.920969909020683	AUP1	-3.77665340066084	hsa	FALSE	FALSE
ENSG00000116688	-0.102369891333332	8.61006342975926	-6.20472030537612	0.603229663482537	0.961959631413562	MFN2	-4.08704863702083	hsa	FALSE	FALSE
ENSG00000231649	-0.0949351856666638	6.18923453505556	-5.78414277789042	0.292890468222036	0.869463233384646	RP11-388B24.1	-3.55003405655486	hsa	FALSE	FALSE
ENSG00000154258	0.174490882000002	6.29725678266667	-4.46075586094828	0.0530856638805767	0.539579248611533	ABCA9	-2.28060331426794	hsa	FALSE	FALSE
ENSG00000099958	-0.256598442000001	6.21227311501852	-3.76593024787371	0.0235542783736149	0.395947472534148	DERL3	-1.67661967813719	hsa	FALSE	FALSE
ENSG00000137501	-0.0391150836666618	6.30608231653704	-6.26522184437193	0.698612056176125	0.975847975238524	SYTL2	-4.19615940324637	hsa	FALSE	FALSE
ENSG00000198832	0.310390246333335	6.38170719398148	-3.62668084676414	0.0200776975026615	0.368429732843977	RP3-412A9.11	-1.55792049305132	hsa	FALSE	FALSE
ENSG00000168928	0.0275746720000054	6.06309431361111	-6.28815220904748	0.746665657834743	0.98271051776873	CTRB2	-4.24560338096625	hsa	FALSE	FALSE
ENSG00000179588	-0.0137896209999964	8.4908664455	-6.33955599347327	0.962464539468783	0.997006920247448	ZFPM1	-4.43430545146968	hsa	FALSE	FALSE
ENSG00000233198	0.0143155703333386	6.40058389442593	-6.32467759950648	0.858517374425972	0.993670648139259	BX255925.1	-4.349356494702	hsa	FALSE	FALSE
ENSG00000142511	-0.0119348013333331	6.19300859881481	-6.33052257058325	0.887081234873116	0.993962411763852	GPR32	-4.37368357201383	hsa	FALSE	FALSE
